note,line,quantifier,has_citation,text
models/ADCIRC/manifest.md,52,전부,0,- **충실도**: 원문 그대로(요약·가공 없음). 이미지 33링크 전부 `_static/` 로컬 해상 확인. RST cross-reference 롤은 텍스트 잔존
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,49,전부,1,"**explicit(RHS 전용) 항**: 수평이류 `LAdvec`(:870, `sponge·IFNLCT` 게이트)·수평응력 `LStress = 3·EVM·(...)`(:871)·biharmonic(:923)·**연직이류 `VAdvec`**·경압 `BPG`·순압 `BTPG`(s+1/2 평균) — 전부 Fr 벡터로만 (:1019-1026)."
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,80,전부,1,- **이류는 전부 explicit** — 수평(LAdvec)·연직(VAdvec) 이류 모두 RHS. implicit 은 연직확산·Coriolis·저면응력뿐 → 3D 층내 강한 연직이류·수평이류는 여전히 dt 제약 요인. ROMS 의 implicit 연직이류 옵션(OMEGA_IMPLICIT)과 대비 ([[time-integration-cross-model]] §4).
models/ADCIRC/source-analysis/adcirc-tidal-forcing.md,50,모든,1,- `moon.F90`(602)/`ephemerides.F90`(438)/`astronomic.F90`(460) + **`sun.F90`·`sun_moon_system.F90`**(태양 위치·해-달 천체계) = 달·태양 위치(적위·거리) 시계열 → 시변 tidal potential 직접. constituent truncation 없이 모든 조석 성분 포함(장기·비선형 조석 모사). VSOP/ELP 류 천체력.
models/ADCIRC/source-analysis/adcirc-topic-map.md,30,모든,0,- **W**: [공식 문서 사이트](https://adcirc.github.io/adcirc/) 2026-09-14 조회판. S와 전역적으로 같다고 가정하지 않는다. [이론 안내](https://adcirc.github.io/adcirc/theory/index.html)는 v44.XX 보고서와 이후 기능 보강을 구분한다. 오래된 이론식과 S의 모든 옵션이 일치한다는 뜻은 아니다.
models/ADCIRC/source-analysis/adcirc-topic-map.md,41,모든,0,"| F01 격자·좌표·수심 | 포함 — 모든 입력과 결과의 공간 기준 | [fort.14][d14]의 격자/경계 구조, [ICS][dics] §Available ICS Values 조건 대조 | [전처리](adcirc-preprocessing-foundation.md), [수심](adcirc-bathymetry-input-foundation.md), [도메인 설계](adcirc-domain-design-process.md): 기존 노트 | 원자료 기준면·해상도·오차, 좌표 변환과 노드 수심의 독립 대조 |"
models/ADCIRC/source-analysis/adcirc-topic-map.md,62,모든,0,"이 표는 공식 개요의 일곱 응용 분류를 F04/F07(조석·바람), F07/F09(해일·홍수), F13(파랑 상호작용), F12(준설·투기/이송), F11(경압), F09/F10(침수·방호)에 연결한다. 응용 분류를 지원 옵션 전체의 검증으로 해석하지 않는다. [Model Features][dfeatures]와 [Model Configuration][dcfg]·[Special Features][dspecial]를 함께 사용했으며, 모든 하위 옵션을 나열한 참조서는 아니다."
models/ADCIRC/source-analysis/adcirc_asgs_operational_system.md,104,전부,1,"| `-m ISOTACH` | 한 사분면에 다중 isotach가 있을 때 Rmax 계산용 선택법 — NWS19=2(최고 isotach), NWS20=4(전부 사용) (`:80-88`) |"
models/ADCIRC/source-analysis/adcirc_gahm_vortex_model.md,170,전부,1,- 4개: 전부 snap의 rmax로 설정(`Preprocessor.cpp:141-146`).
models/ADCIRC/source-analysis/adcirc_gahm_vortex_model.md,188,모든,1,"`prepareAtcfData()` 선행 필수(미처리 시 runtime_error, `Preprocessor.cpp:69-74`). 모든 snap × isotach × **4분면** 각각:"
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,138,모든,1,"비교기는 각 등록 파일이 control과 계산 위치에 모두 존재하는지 확인하고 NetCDF를 읽어 수치 배열을 비교한다. 기준 쪽 변수 목록을 순회하므로 기준에 없는 추가 변수의 존재를 검사하는 구조는 아니다. 수치 dtype인 `f`·`i`만 비교하고 이름에 `time_of`가 들어간 변수는 건너뛴다. `numpy.testing.assert_allclose(control[var], test[var], atol=tolerance, equal_nan=True)` 호출에서 **`rtol`은 명시하지 않는다**. 따라서 CLI의 `--tolerance`를 모든 출력의 순수 절대오차나 해역의 물리 허용오차로 해석하지 않는다. 런타임 NumPy의 상대오차 기본값과 변수 단위·제외 항목을 함께 고정해야 한다. 근거: "
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,183,모든,1,"**독립성**은 관측 정점 ID·별칭·좌표·사용 기간을 경계 DB의 동화 자료와 ADCIRC 보정/경계 구축에 사용한 자료에 각각 대조해 판정한다([BUILD-PLAN §4–6](../../../../BUILD-PLAN.md)). FES handbook p. 6과 Appendix B는 동화 정점 목록을, [TPXO10-atlas 페이지][tpxo-atlas]는 연안 관측 동화와 비동화 자료 검증의 구분을 제공한다. FES는 모든 동화 위치에서 모든 분조를 사용한 것도 아니다. 따라서 이름이 목록에 없거나 검증 기간만 다르다는 이유로 독립성을 확정하지 않고, 정점·분조·기간별 이력이 불명확하면 **독립성 미확정**으로 남긴다. 원래 DB와의 일치는 변환 확인이고, 관측에 대한 물리 검증은 별도다."
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,364,모든,0,"| 퍼텐셜/SAL도 포함 | NTIP의 0/1/2 정의와 §A/F·forcing 노트를 대조한다. SAL 사용에는 성분·물리량·분조·파일의 추가 근거가 필요하며, 모든 해역에 일괄 권고하지 않는다. |"
models/CADMAS-SURF/source-analysis/cadmas-2f-stier-and-hidem-dem-coupling.md,18,전부,0,> CADMAS-2F 388 파일 중 [C티어 2노트](cadmas-2f-twophase-compressible-gas.md)(압축성 2상·sf_* 구조결합) 외 **잔여 전부**. (A) SURF/3D 공유 vf_* 확인 + (B) **HiDEM(DEM) 결합** = 4번째 결합파트너 + (C) sf_* 지원 카탈로그. 경로 루트: `raw/.../Simulators/CADMAS-SURF-3D2F/Source code/`(239 vf_* + 144 sf_* + mod_* + user_eos).
models/CADMAS-SURF/source-analysis/cadmas-surf3d-architecture-source-map.md,20,모든,1,> CADMAS-SURF/3D 의 **진실의 원천 진입점**. 메인 드라이버 `vf_a1main.f` 가 정의하는 해석대상·수치기법·시간적분 루프 구조와 240 Fortran 파일의 명명규칙·데이터모델을 정리. 경로 루트(이하 모든 `vf_*.f` 인용): `raw/source_code/Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami/Simulators/CADMAS-SURF-3D/Source code/`.
models/CADMAS-SURF/source-analysis/cadmas-surf3d-architecture-source-map.md,63,전부,1,"배열은 전부 `ALLOCATABLE`(동적, `vf_a1main.f:231-293`), 3D는 `(NUMI,NUMJ,NUMK)`. 핵심:"
models/CADMAS-SURF/source-analysis/cadmas-surf3d-stier-and-auxiliary-physics.md,19,전부,0,> SURF/3D 240 파일 중 [C티어 코어 6노트](cadmas-surf3d-architecture-source-map.md) 외 **잔여 전부**. (1) 순수 지원(입출력·MPI·util·BC) + (2) C티어 코어 6노트에 안 들어간 **보조 물리**(스칼라/온도 수송·Okada 단층 쓰나미소스·공기압·파이론 내부구현·진단). 경로 루트: `raw/.../CADMAS-SURF-3D/Source code/`.
models/CADMAS-SURF/source-analysis/str3d-contact-and-fluid-coupling.md,44,모든,1,"**MPMD — CADMAS 와 동일 프레임워크** (`module/mod_comm.f90`): STR3D 모델ID `my_model=l_str`(14, `:40-41`), 파트너 CADMAS-2FC(`l_cadmas_2fc=11`). 전용 inter-model 커뮤니케이터 **`comm_2fc_str`**(`:57`, `mpi_comm_split` :209). 결합월드 `CPLWORLD=COMM_WORK_2FC_STR`(`mpi_comm/c_mpi_init.f:8`), 모든 `C_MPI_*` 가 사용. `ICPL==2`일 때 결합 활성(`c_mpi_init.f:31`)."
models/CADMAS-SURF/source-analysis/str3d-stier-parallel-mesh-io.md,18,전부,0,"> STR3D 587 파일 중 [C티어 3노트](str3d-fem-core-newmark-elasto-plastic.md)(src/ 코어·solver·contact) 외 **잔여 디렉토리 전부**. (A) 순수 지원(MPI·분할·메시IO) + (B) **geo/ = FEM 물리 코어의 MPI 병렬 쌍둥이**(C티어, seq/+src/ 직렬판과 대응) + (C) 적발 hidden physics. 경로 루트: `raw/.../Simulators/STR3D/Source code/`."
models/Celeris/manual-notes/celeris-architecture-and-config.md,11,모든,1,"> **이 노트의 위치.** Celeris-WebGPU는 별도 PDF 사용자 매뉴얼이 없다. 대신 상류 저장소가 `docs/architecture/*.md`(아키텍처 docs)와 루트 `ARCHITECTURE.md`/`CLAUDE.md`를 사실상의(de-facto) 매뉴얼로 제공한다. 본 노트는 그 docs를 매뉴얼 스타일로 압축한 것이며, 모든 단언에 해당 doc 섹션을 인용한다. PDF 원논문(Tavakkol·Lynett, Lynett et al.)은 §4에 서지로만 정리한다(PDF 본문 미독)."
models/Celeris/manual-notes/celeris-architecture-and-config.md,152,모든,0,2. **셰이더**(WGSL): 매칭 `Globals` struct + 매칭 텍스처/스토리지 바인딩 선언. 모든 텍스처는 config 함의 치수; 스토리지 출력은 샘플 입력과 분리(임시 텍스처 후 복사 예외); workgroup 보통 16×16 (§Shader Responsibilities).
models/Celeris/manual-notes/celeris-architecture-and-config.md,159,모든,1,**안전 변경 체크리스트** (§Safe Change Checklist) — 셰이더 변경: ① 셰이더 `@binding` 목록 → ② 매칭 `Handler_*.js` 레이아웃 → ③ `main.js`의 모든 `create_*_BindGroup()` 호출 → ④ `Create_Textures.js` 포맷 → ⑤ 디스패치 후 copy → ⑥ 채널 의미 docs. 신규 config/uniform: ① `constants_load_calc.js` 기본값 → ② 파생계산 → ③ JS uniform writer → ④ WGSL `Globals` 올바른 byte 위치 → ⑤ 영향받는 파이프라인/bind group 재생성.
models/Celeris/manual-notes/celeris-architecture-and-config.md,196,모든,1,"config.json은 `constants_load_calc.js` 기본 + example 오버라이드 + JS 파생상수(dt·dispatch·Bous계수·역격자간격)로 결정되며 스키마 검증 없음; 모드는 `NLSW_or_Bous`/`Accuracy_mode`/`timeScheme`(+`pred_or_corrector`로 AB predictor/corrector) 플래그가 활성 WGSL 경로를 분기한다. 모든 패스는 handler↔bind group(@binding 번호)↔shader 3계층 positional 계약으로 묶이고, 수치 lineage는 Boussinesq/PCR/wet-dry(Tavakkol&Lynett 2017·2020), 3차 AB(2019), WebGPU 정적웹앱 아키텍처(Lynett et"
models/Celeris/source-analysis/celeris-boussinesq-solver.md,125,모든,0,Thomas 알고리즘은 forward sweep → back substitution이 **본질적으로 순차적**(셀 i가 i-1에 의존). GPU에서 한 행에 수천 셀이 있어도 직렬화돼 병렬성을 못 살린다. **Parallel Cyclic Reduction(PCR)**은 매 패스마다 모든 미지수를 stride `s`만큼 떨어진 이웃 2개와 결합해 동시에 줄인다. `log2(N)` 패스로 시스템을 항등(대각만 남김)으로 환원 → 각 셀이 독립적으로 해를 읽는다. WGSL compute(셀=스레드) 모델에 자연스럽다.
models/Celeris/source-analysis/celeris-boussinesq-solver.md,145,항상,1,"표준 CR 환원식: 현재행에서 좌·우 stride 이웃 행을 소거해 stride를 2배(`s = 1<<p`, `Run_Tridiag_Solver.js:50`)로 넓힌 새 3-대각을 만든다. 출력 `txtemp_out = (aOut, 1.0, cOut, dOut)`(`:94`) — 대각은 항상 1로 정규화. **마지막 패스(`p == P-1`)에서만** 해 `dOut`을 상태 텍스처 채널에 써넣는다(`:101-105`):"
models/Celeris/source-analysis/celeris-breaking-boundary.md,105,모든,1,"적용: 가장자리 ≤1셀은 전체 미러(`:309` 등), 한 셀 안쪽(x==2 등)은 법선속도만 0으로(`:311-314`). 모든 solid 셀에서 `BCState_Sed = zero`."
models/Celeris/source-analysis/celeris-breaking-boundary.md,115,모든,1,"`main`은 네 변 sponge를 **거리 가중 평균**으로 합성(`:259-302`): 변마다 선형 가중 `s`로 `state_sum += s·state`, 마지막에 `BCState = state_sum/weight_sum`(`:300-301`). 코너에서 두 sponge가 겹쳐도 부드럽게 섞임. 모든 sponge 셀에서 `BCState_Sed = zero`(`:269` 등). γ<1이라 매 스텝 진폭이 줄어 흡수 경계 역할."
models/Celeris/source-analysis/celeris-breaking-boundary.md,144,모든,1,"depth는 `base_depth`(균일 가정, `:116,169`)에서 가져옴 — 실제 bathy 미사용(주석 처리). 모든 incident 셀에서 `BCState_Sed = zero`."
models/Celeris/source-analysis/celeris-breaking-boundary.md,165,모든,1,"위 모든 분기(sponge·solid·incident·river)에서 `BCState_Sed = zero`(또는 `max(.,zero)`로 음수 농도 방지, `:196`). 즉 경계는 퇴적물 농도 source가 아니며, river만 tracer `conc`를 state의 4번째 채널로 별도 주입."
