finding_id,work_id,representation_path,reported_lines,class,finding,canonical_group,disposition,current_canonical_coverage,cross_format_duplicate_candidate,duplicate_confidence,cross_format_duplicate_score,physical_pdf_pages,printed_pages_or_frontmatter,page_map_status,mapped_token_fraction,candidate_canonical_routes,source_code_adjudication_topics,source_code_adjudications_json
XH001,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,219-225,documented_configuration,"The manual specifies 'ny=0' for one-dimensional runs, 'dtheta=thetamax−thetamin' for a single directional bin and 'snells=1' to retain oblique mean-wave refraction.",wave-boundary-spectra,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH052,probable,0.3417,11;12,9;10,cross-format-mapped,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_wave_boundary_generation.md;models/XBeach/source-analysis/wave/xbeach_wave_boundary.md;models/XBeach/source-analysis/wave/xbeach-boundary-and-wave-setup.md;models/XBeach/source-analysis/xbeach_swan_handoff.md,,[]
XH002,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,"253-255,524",documented_pressure_approximation,"Non-hydrostatic pressure is assumed linear over depth with zero dynamic pressure at the surface, while vertical momentum advection and diffusion are described as negligible.",nonhydrostatic-physics-numerics,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,,unresolved,0.2271,16;30,14;28,cross-format-mapped,0.993289,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_nonh.md;models/XBeach/source-analysis/xbeach_solver.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
XH003,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,"284,2588",contradiction,"The prose associates 'wci=1' with no wave-current interaction, whereas the parameter table describes wci as enabling interaction and gives default '0'.",wave-action-breaking-roller-friction,merge-document-conflict-with-frozen-source-snapshot-adjudication,source-code-adjudication-complete; retain-document-version-scope,XH053,high,0.8128,18;109,16;107,cross-format-mapped,0.96,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_wave_action_balance.md;models/XBeach/source-analysis/xbeach_wave_breaking.md;models/XBeach/source-analysis/xbeach_wave_functions.md;PROPOSED: models/XBeach/manual-notes/xbeach-manual-discrepancies.md,wci,"[{""canonical_ready_ko"": ""기록된 소스 snapshot의 surfbeat 경로에서 wci=1은 흐름에 따른 파랑 굴절/수심 처리를 활성화하고, 0은 흐름 유속 기울기를 0으로 둔다. 입력 기본값은 0이다. 문서의 wci=1을 no interaction으로 설명한 문구를 현재 구현 설명으로 사용하지 않는다."", ""evidence"": [{""line_end"": 138, ""line_start"": 131, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/wave_instationary.F90"", ""sha256"": ""9584b6ec2138353aba65991a4ec570b4b794554485cea43915c6071e9e2ed45a""}, {""line_end"": 177, ""line_start"": 167, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/wave_instationary.F90"", ""sha256"": ""9584b6ec2138353aba65991a4ec570b4b794554485cea43915c6071e9e2ed45a""}, {""line_end"": 674, ""line_start"": 669, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/params.F90"", ""sha256"": ""73648b5733a8f90a8f18cda32743bdc2ef42f649e39c521e28e06584ee63c359""}], ""finding_binding"": {""finding_exact"": ""The prose associates 'wci=1' with no wave-current interaction, whereas the parameter table describes wci as enabling interaction and gives default '0'."", ""finding_id"": ""XH003"", ""finding_sha256"": ""ee356c93be53cb3abfe9a25c5aa6fa15f9eaa5b18b51fab8fc5d25458468d0f8"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, ""finding_bindings"": [{""finding_exact"": ""The prose associates 'wci=1' with no wave-current interaction, whereas the parameter table describes wci as enabling interaction and gives default '0'."", ""finding_id"": ""XH003"", ""finding_sha256"": ""ee356c93be53cb3abfe9a25c5aa6fa15f9eaa5b18b51fab8fc5d25458468d0f8"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The physics prose says wci=1 disables wave-current interaction, whereas the parameter table gives wci=0 as the default disabling switch."", ""finding_id"": ""XH053"", ""finding_sha256"": ""258af82a5ac387feb8d18f0f3d7bcd129e45481aa517753345a893c0ecc46f1b"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The wave-action prose associates wci=1 with no interaction, whereas the exercise and parameter table associate it with enabled interaction."", ""finding_id"": ""XH097"", ""finding_sha256"": ""ec58c60aa98007f12e5db0419a51ef8acfeb353e710cd6f21e16e87d13a79bec"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The physics text associates wci=1 with no wave-current interaction, whereas the parameter table describes switching interaction on and gives default wci=0."", ""finding_id"": ""XH131"", ""finding_sha256"": ""fb2255b28d1c8bf409df74f74c05aa155f8e62eb2704fb4f99da672e8691b469"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}], ""finding_ids"": [""XH003"", ""XH053"", ""XH097"", ""XH131""], ""scope"": ""frozen local source snapshot; historical PDF/DOC contradictions remain edition-specific"", ""source_artifact"": ""_staging/total-read/model-audit/XBeach/closure/manual-code-adjudications.json"", ""source_artifact_sha256"": ""56075b0e74b75050881292c5a95cca17813b4570457f3585a614d7f34c9f16fa"", ""topic"": ""wci""}]"
XH004,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,"318,664,2175,2200",contradiction,"The prose calls 'Tm01switch=1' the default representative-period convention, but the parameter table gives 'Tm01switch=0', corresponding to Tm−1,0.",parameter-defaults-mixed,document-both-source-statements-as-an-internal-conflict; do-not-select-a-value,conflict-register-addition-required,XH054,high,0.7681,20;36,18;34,cross-format-mapped,0.832061,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_params.md;PROPOSED: models/XBeach/manual-notes/xbeach-manual-discrepancies.md,,[]
XH005,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,"322,1287,2247-2258",documented_breaking_parameters,"The table defaults are 'break=roelvink2', 'alpha=1', 'gamma=0.55', 'n=10', 'gamma2=0.3' and 'gammax=2', although the prose says gamma and n were calibrated for roelvink1 and roelvink2 changes dissipation scaling from H² to H³/h.",nonhydrostatic-physics-numerics,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH055,high,0.6694,20;75,18;73,cross-format-partial,0.471519,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_nonh.md;models/XBeach/source-analysis/xbeach_solver.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
XH006,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,"347,2253-2254",documented_wave_friction,"Short-wave friction is independent of flow friction, defaults to 'fw=0' with 'fwcutoff=1000 m', and the reef discussion recommends fw of order ten times cf or greater.",flow-friction-viscosity,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,,unresolved,0.2878,21,19,cross-format-mapped,0.741667,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_bed_friction.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
XH007,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,404-418,documented_wave_shape,"The Van Thiel waveform uses eight harmonics with 'w=1' giving a skewed wave and 'w=0' an asymmetric wave, while Ruessink's waveform cannot be combined with bore-averaged turbulence.",sediment-transport,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH057,high,0.6305,24;25,22;23,cross-format-mapped,1.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_morphology.md;models/XBeach/source-analysis/xbeach_intrawave_sediment_transport.md,,[]
XH008,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,"480,1292,2264-2267",contradiction,"The prose identifies 'nuh=0.1' as the dimensionless Smagorinsky constant when 'smag=1', but the table labels the same input as background viscosity in m²/s.",flow-friction-viscosity,merge-document-conflict-with-frozen-source-snapshot-adjudication,source-code-adjudication-complete; retain-document-version-scope,XH059,high,0.5596,27;76,25;74,cross-format-partial,0.658228,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_bed_friction.md;models/XBeach/source-analysis/xbeach_flow_solver.md;PROPOSED: models/XBeach/manual-notes/xbeach-manual-discrepancies.md,nuh,"[{""canonical_ready_ko"": ""nuh는 smag 분기에 따라 의미가 달라진다. smag=1에서 par%nuh는 무차원 Smagorinsky 계수로 제곱되어 격자면적·변형률에 곱해지고, smag=0에서는 출력 점성계수 s%nuh에 직접 대입되어 m²/s 값으로 쓰인다. 해당 snapshot 입력 기본값은 nuh=0.1, smag=1이다. s%nuh 출력의 단위와 par%nuh 입력의 조건부 단위를 구분한다."", ""evidence"": [{""line_end"": 377, ""line_start"": 365, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/flow_timestep.F90"", ""sha256"": ""50742b601cc8feccd513cf742ca772b6021f1d4f5ffe074c4e8ffc90907dd2b2""}, {""line_end"": 1023, ""line_start"": 1008, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/flow_timestep.F90"", ""sha256"": ""50742b601cc8feccd513cf742ca772b6021f1d4f5ffe074c4e8ffc90907dd2b2""}, {""line_end"": 1062, ""line_start"": 1047, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/flow_timestep.F90"", ""sha256"": ""50742b601cc8feccd513cf742ca772b6021f1d4f5ffe074c4e8ffc90907dd2b2""}, {""line_end"": 748, ""line_start"": 743, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/params.F90"", ""sha256"": ""73648b5733a8f90a8f18cda32743bdc2ef42f649e39c521e28e06584ee63c359""}], ""finding_binding"": {""finding_exact"": ""The prose identifies 'nuh=0.1' as the dimensionless Smagorinsky constant when 'smag=1', but the table labels the same input as background viscosity in m²/s."", ""finding_id"": ""XH008"", ""finding_sha256"": ""7b02b86d2485948aff3e766b0f50ccf1b293176f1837781ad12fd17a29eee13b"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, ""finding_bindings"": [{""finding_exact"": ""The prose identifies 'nuh=0.1' as the dimensionless Smagorinsky constant when 'smag=1', but the table labels the same input as background viscosity in m²/s."", ""finding_id"": ""XH008"", ""finding_sha256"": ""7b02b86d2485948aff3e766b0f50ccf1b293176f1837781ad12fd17a29eee13b"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The Smagorinsky description treats nuh=0.1 as a dimensionless coefficient, whereas its parameter table assigns nuh units of m²/s."", ""finding_id"": ""XH059"", ""finding_sha256"": ""8cebacefbced2769bf64ed6098b87b15d7592f15a6fcb5f9402c6be1e9430914"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""Typical Chezy C=55, Manning n=0.02 and ks=0.01–0.15 m conflict with default chezy/bedfriccoef=0.01, changed from Kingsday 0.003, while nuh=0.1 is described both as a Smagorinsky constant and dimensional viscosity."", ""finding_id"": ""XH100"", ""finding_sha256"": ""7ff3d3b0c111ba454ed89b506c8e80c0efff9873cb38a56ae3b6b174c67492fd"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The text gives Chezy C=55 and Manning n=0.02, while the default bedfriccoef is 0.01 rather than Kingsday's 0.003 and nuh=0.1 is described both as a coefficient and as a dimensional viscosity."", ""finding_id"": ""XH135"", ""finding_sha256"": ""07ad19ea57c3ab7f209570a9601bb0e673dca02e147bed5149643301fa4dc9aa"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}], ""finding_ids"": [""XH008"", ""XH059"", ""XH100"", ""XH135""], ""scope"": ""frozen local source snapshot; historical PDF/DOC contradictions remain edition-specific"", ""source_artifact"": ""_staging/total-read/model-audit/XBeach/closure/manual-code-adjudications.json"", ""source_artifact_sha256"": ""56075b0e74b75050881292c5a95cca17813b4570457f3585a614d7f34c9f16fa"", ""topic"": ""nuh""}]"
XH009,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,"490-506,2113-2118,2261-2263",contradiction,"The friction table pairs 'chezy' with '55 m½/s' and 'cf' with '0.003', but the input table defaults to 'bedfriction=chezy' and 'bedfriccoef=0.003'.",flow-friction-viscosity,merge-document-conflict-with-frozen-source-snapshot-adjudication,source-code-adjudication-complete; retain-document-version-scope,XH060,high,0.7125,28;29,26;27,cross-format-mapped,0.755952,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_bed_friction.md;models/XBeach/source-analysis/xbeach_flow_solver.md;PROPOSED: models/XBeach/manual-notes/xbeach-manual-discrepancies.md,bedfriction,"[{""canonical_ready_ko"": ""마찰 파일을 쓰지 않는 조건에서 기본 계수는 선택한 마찰식에 종속된다: Chezy는 55, cf는 0.003, Manning은 0.02, White-Colebrook은 0.01이다. Chezy 분기는 g/C²로 cf를 계산하므로 Chezy C에 0.003을 넣는 것은 cf=0.003과 동등하지 않다. 문서 변환으로 깨진 마찰 공식은 이 소스식으로 원문을 복원했다고 주장하지 않고 별도 제외한다."", ""evidence"": [{""line_end"": 727, ""line_start"": 707, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/params.F90"", ""sha256"": ""73648b5733a8f90a8f18cda32743bdc2ef42f649e39c521e28e06584ee63c359""}, {""line_end"": 75, ""line_start"": 68, ""path"": ""models/XBeach/raw/source_code/trunk/src/xbeachlibrary/bedroughness.F90"", ""sha256"": ""508ccef2919d203a716f831f4ffd80a57068562eab747a00a94da802a840dfef""}], ""finding_binding"": {""finding_exact"": ""The friction table pairs 'chezy' with '55 m½/s' and 'cf' with '0.003', but the input table defaults to 'bedfriction=chezy' and 'bedfriccoef=0.003'."", ""finding_id"": ""XH009"", ""finding_sha256"": ""00d69e076c2179faab7bec3d67de4522696dcc50a673d696cf4a19d6d2d1a07e"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, ""finding_bindings"": [{""finding_exact"": ""The friction table pairs 'chezy' with '55 m½/s' and 'cf' with '0.003', but the input table defaults to 'bedfriction=chezy' and 'bedfriccoef=0.003'."", ""finding_id"": ""XH009"", ""finding_sha256"": ""00d69e076c2179faab7bec3d67de4522696dcc50a673d696cf4a19d6d2d1a07e"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The prose gives cf=0.003 and Chezy C=55 with cf=g/C², but the table pairs default bedfriction=chezy with bedfriccoef=0.003."", ""finding_id"": ""XH060"", ""finding_sha256"": ""c1854c066319a31f4ec22c996427b910710e17301f62934c218fa135bc5bcc4c"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""Typical Chezy C=55, Manning n=0.02 and ks=0.01–0.15 m conflict with default chezy/bedfriccoef=0.01, changed from Kingsday 0.003, while nuh=0.1 is described both as a Smagorinsky constant and dimensional viscosity."", ""finding_id"": ""XH100"", ""finding_sha256"": ""7ff3d3b0c111ba454ed89b506c8e80c0efff9873cb38a56ae3b6b174c67492fd"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The text gives Chezy C=55 and Manning n=0.02, while the default bedfriccoef is 0.01 rather than Kingsday's 0.003 and nuh=0.1 is described both as a coefficient and as a dimensional viscosity."", ""finding_id"": ""XH135"", ""finding_sha256"": ""07ad19ea57c3ab7f209570a9601bb0e673dca02e147bed5149643301fa4dc9aa"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}, {""finding_exact"": ""The extracted friction formulas show cf=g/C and a Manning exponent of 1/12, differing from expected squared-C notation and Kingsday's 1/3 exponent, requiring verification against the original equations before use."", ""finding_id"": ""XH136"", ""finding_sha256"": ""c3150634994a4b05ea608a625be7efa726de2db5ed104f63b28894a74ac81cdc"", ""scope"": ""Only the named parameter or algorithm within this compound finding is adjudicated; other clauses retain their documentary disposition.""}], ""finding_ids"": [""XH009"", ""XH060"", ""XH100"", ""XH135"", ""XH136""], ""scope"": ""frozen local source snapshot; historical PDF/DOC contradictions remain edition-specific"", ""source_artifact"": ""_staging/total-read/model-audit/XBeach/closure/manual-code-adjudications.json"", ""source_artifact_sha256"": ""56075b0e74b75050881292c5a95cca17813b4570457f3585a614d7f34c9f16fa"", ""topic"": ""bedfriction""}]"
XH010,xbeach-kingsday-technical-reference-2015-v1.22-r4567,XBeach_manual_kingsday.docx.txt,2115-2118,documented_friction_defaults,"Other documented friction defaults are Manning '0.02', White-Colebrook roughness '0.01' and grain-size roughness input 'D90=0.0003 m'.",flow-friction-viscosity,merge-with-existing-canonical-as-edition-scoped-manual-fact,existing-merge-target; retain compound finding as one denominator row,XH061,high,0.6135,28;78;79,26;76;77,cross-format-retrieval-candidate,0.0,models/XBeach/manual-notes/xbeach-master-manual.md;models/XBeach/source-analysis/xbeach_bed_friction.md;models/XBeach/source-analysis/xbeach_flow_solver.md,,[]
