note,note_line,category,applied,evidence,note_text_before,note_text_after
models/EFDC/manual-notes/efdc-implementation-guide.md,176,C,yes,EFDC/input.f90:203-205; complete ranges equal,"> - **C2A (매뉴얼 미기재)**: v12.4는 `ISRESTI==1 .and. ICONTINUE==1`(continuation restart)일 때 `SEEK('C2A')` 후 2줄 — `Restart_In_Ver`, `RESTARTF`(restart 파일명) — 를 읽는다 (`input.f90:198-200`). 본 매뉴얼 카드 인덱스에는 C2A가 없다.","> - **C2A (매뉴얼 미기재)**: v12.4는 `ISRESTI==1 .and. ICONTINUE==1`(continuation restart)일 때 `SEEK('C2A')` 후 2줄 — `Restart_In_Ver`, `RESTARTF`(restart 파일명) — 를 읽는다 (`input.f90:203-205`). 본 매뉴얼 카드 인덱스에는 C2A가 없다."
models/EFDC/manual-notes/efdc-implementation-guide.md,177,C,yes,EFDC/input.f90:4090-4092; complete ranges equal,"> - **C22B (Shellfish) 미독**: v12.4 `input.f90`의 SEEK 카드 인벤토리에 C22B가 없다 — 이 카드는 읽히지 않는다. Shellfish 설정은 대신 `READ_SHELLFISH_JSON`(JSON 파일)으로 로드 (`input.f90:3941-3943`, `SHELLFISHMOD`).","> - **C22B (Shellfish) 미독**: v12.4 `input.f90`의 SEEK 카드 인벤토리에 C22B가 없다 — 이 카드는 읽히지 않는다. Shellfish 설정은 대신 `READ_SHELLFISH_JSON`(JSON 파일)으로 로드 (`input.f90:4090-4092`, `SHELLFISHMOD`)."
models/EFDC/manual-notes/efdc-implementation-guide.md,179,C,yes,EFDC/input.f90:944-946; complete ranges equal,"> - **C17 위상 규약**: 레거시 매뉴얼류의 ""phase relative to time origin of TBEGIN"" 서술과 달리, v12.4는 **절대 시간** `TIMESEC`로 합성한다: `hdmt.f90:89` `TIMESEC = TCON·TBEGIN` → `setopenbc.f90:232` `TN = TIMESEC` → η = PFAM·cos(2π(TIMESEC−PFPH)/TCP) (`input.f90:913-915` CPFAM0/SPFAM0 변환). 즉 PFPH는 **TCP와 같은 시간 단위(초)의 lag**이고 `PFPH = [TCON·TBEGIN + TCP·(G−(V0+u))/360] mod TCP`로 만들어야 한다. 도(°) 단위 위상을 그대로 넣으면 안 된다.","> - **C17 위상 규약**: 레거시 매뉴얼류의 ""phase relative to time origin of TBEGIN"" 서술과 달리, v12.4는 **절대 시간** `TIMESEC`로 합성한다: `hdmt.f90:89` `TIMESEC = TCON·TBEGIN` → `setopenbc.f90:232` `TN = TIMESEC` → η = PFAM·cos(2π(TIMESEC−PFPH)/TCP) (`input.f90:944-946` CPFAM0/SPFAM0 변환). 즉 PFPH는 **TCP와 같은 시간 단위(초)의 lag**이고 `PFPH = [TCON·TBEGIN + TCP·(G−(V0+u))/360] mod TCP`로 만들어야 한다. 도(°) 단위 위상을 그대로 넣으면 안 된다."
models/EFDC/manual-notes/efdc-implementation-guide.md,187,C,yes,EFDC/input.f90:230; complete ranges equal,"> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)**: v12.4의 C3 read 목록은 `RP, RSQM, ITERM, IRVEC, IATMP, IWDRAG, ITERHPM, ldum, ISDSOLV, tmp` (`input.f90:225`) — 매뉴얼의 **`IDRYCK`·`FILT3TL` 식별자는 v12.4 소스 어디에도 존재하지 않는다** (전 `.f90` grep 0건, 2026-07-04). 해당 슬롯은 `ITERHPM`/`ldum`/`ISDSOLV`/`tmp`로 대체. 또한 `IRVEC`은 **0 또는 9만 허용** — 99를 넣으면 `STOPP('INVALID IRVEC')`로 즉시 정지한다 (`input.f90:237`).","> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)**: v12.4의 C3 read 목록은 `RP, RSQM, ITERM, IRVEC, IATMP, IWDRAG, ITERHPM, ldum, ISDSOLV, tmp` (`input.f90:230`) — 매뉴얼의 **`IDRYCK`·`FILT3TL` 식별자는 v12.4 소스 어디에도 존재하지 않는다** (전 `.f90` grep 0건, 2026-07-04). 해당 슬롯은 `ITERHPM`/`ldum`/`ISDSOLV`/`tmp`로 대체. 또한 `IRVEC`은 **0 또는 9만 허용** — 99를 넣으면 `STOPP('INVALID IRVEC')`로 즉시 정지한다 (`input.f90:237`)."
models/EFDC/manual-notes/efdc-implementation-guide.md,187,C,yes,EFDC/input.f90:242; complete ranges equal,"> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)**: v12.4의 C3 read 목록은 `RP, RSQM, ITERM, IRVEC, IATMP, IWDRAG, ITERHPM, ldum, ISDSOLV, tmp` (`input.f90:230`) — 매뉴얼의 **`IDRYCK`·`FILT3TL` 식별자는 v12.4 소스 어디에도 존재하지 않는다** (전 `.f90` grep 0건, 2026-07-04). 해당 슬롯은 `ITERHPM`/`ldum`/`ISDSOLV`/`tmp`로 대체. 또한 `IRVEC`은 **0 또는 9만 허용** — 99를 넣으면 `STOPP('INVALID IRVEC')`로 즉시 정지한다 (`input.f90:237`).","> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)**: v12.4의 C3 read 목록은 `RP, RSQM, ITERM, IRVEC, IATMP, IWDRAG, ITERHPM, ldum, ISDSOLV, tmp` (`input.f90:230`) — 매뉴얼의 **`IDRYCK`·`FILT3TL` 식별자는 v12.4 소스 어디에도 존재하지 않는다** (전 `.f90` grep 0건, 2026-07-04). 해당 슬롯은 `ITERHPM`/`ldum`/`ISDSOLV`/`tmp`로 대체. 또한 `IRVEC`은 **0 또는 9만 허용** — 99를 넣으면 `STOPP('INVALID IRVEC')`로 즉시 정지한다 (`input.f90:242`)."
models/EFDC/manual-notes/efdc-implementation-guide.md,199,C,yes,EFDC/input.f90:404; complete ranges equal,"> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)**: v12.4의 C8 read는 `TCON, TBEGIN, TIDALP, CF, ISCORV, ISDCCA, ISCFL, ISCFLM, DTSSFAC, DTSSDHDT, DTMAX` (`input.f90:387`) — 매뉴얼의 `TREF`/`CORIOLIS`는 v12.4에서 **`TIDALP`/`CF`라는 이름**으로 같은 슬롯에 읽힌다 (의미 동일: reference 주기 / Coriolis 상수). 이름만 다르고 자리는 같으므로 파일 호환은 유지.","> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)**: v12.4의 C8 read는 `TCON, TBEGIN, TIDALP, CF, ISCORV, ISDCCA, ISCFL, ISCFLM, DTSSFAC, DTSSDHDT, DTMAX` (`input.f90:404`) — 매뉴얼의 `TREF`/`CORIOLIS`는 v12.4에서 **`TIDALP`/`CF`라는 이름**으로 같은 슬롯에 읽힌다 (의미 동일: reference 주기 / Coriolis 상수). 이름만 다르고 자리는 같으므로 파일 호환은 유지."
models/EFDC/manual-notes/efdc-implementation-guide.md,211,C,yes,EFDC/input.f90:669; complete ranges equal,"> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)**: v12.4의 C12A 첫 슬롯은 `ISSTAB`이 아니라 **`ISTOPT(0)`** (난류 폐쇄 옵션 배열의 0번 원소)로 읽힌다: `read ... ISTOPT(0), ISSQL, ISAVBMX, ISFAVB, ISINWV, ISLLIM, IFPROX, XYRATIO, BC_EDGEFACTOR` (`input.f90:646`). `ISSTAB` 식별자는 v12.4 소스에 없고, 마지막에 `BC_EDGEFACTOR` 슬롯이 추가되어 9개 값을 읽는다.","> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)**: v12.4의 C12A 첫 슬롯은 `ISSTAB`이 아니라 **`ISTOPT(0)`** (난류 폐쇄 옵션 배열의 0번 원소)로 읽힌다: `read ... ISTOPT(0), ISSQL, ISAVBMX, ISFAVB, ISINWV, ISLLIM, IFPROX, XYRATIO, BC_EDGEFACTOR` (`input.f90:669`). `ISSTAB` 식별자는 v12.4 소스에 없고, 마지막에 `BC_EDGEFACTOR` 슬롯이 추가되어 9개 값을 읽는다."
models/EFDC/manual-notes/efdc-implementation-guide.md,257,C,yes,EFDC/caltsxy.f90:243-250; complete ranges equal,"> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)** — `WSER.INP`의 `ISWDINT`: DSI 블로그·wser 헤더는 `ISWDINT=2`를 ""동/북 속도 성분 입력""으로 기술하나, v12.4 런타임(`caltsxy.f90:244-251`, TSWND의 유일한 런타임 소비처)은 **항상 1열=풍속, 2열=풍향(불어가는 쪽 나침반 방위, `DEGM=90−방향`으로 수학각 변환)** 으로 해석한다. `ISWDINT=2`의 read 처리는 두 열에 `WINDSCT` 배율만 곱할 뿐이어서 (`input.f90:6934-6939`) **성분 입력은 v12.4에서 조용히 오독된다**. 실재하는 옵션은 `ISWDINT=0`(불어가는 방향) / `=1`(불어오는 방향 — read 시 180° 반전, `input.f90:6923-6933`)뿐. 상세: [[efdc-tidal-forcing-conventions-v12]] §5.","> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)** — `WSER.INP`의 `ISWDINT`: DSI 블로그·wser 헤더는 `ISWDINT=2`를 ""동/북 속도 성분 입력""으로 기술하나, v12.4 런타임(`caltsxy.f90:243-250`, TSWND의 유일한 런타임 소비처)은 **항상 1열=풍속, 2열=풍향(불어가는 쪽 나침반 방위, `DEGM=90−방향`으로 수학각 변환)** 으로 해석한다. `ISWDINT=2`의 read 처리는 두 열에 `WINDSCT` 배율만 곱할 뿐이어서 (`input.f90:6934-6939`) **성분 입력은 v12.4에서 조용히 오독된다**. 실재하는 옵션은 `ISWDINT=0`(불어가는 방향) / `=1`(불어오는 방향 — read 시 180° 반전, `input.f90:6923-6933`)뿐. 상세: [[efdc-tidal-forcing-conventions-v12]] §5."
models/EFDC/manual-notes/efdc-implementation-guide.md,257,C,yes,EFDC/input.f90:7086-7091; complete ranges equal,"> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)** — `WSER.INP`의 `ISWDINT`: DSI 블로그·wser 헤더는 `ISWDINT=2`를 ""동/북 속도 성분 입력""으로 기술하나, v12.4 런타임(`caltsxy.f90:243-250`, TSWND의 유일한 런타임 소비처)은 **항상 1열=풍속, 2열=풍향(불어가는 쪽 나침반 방위, `DEGM=90−방향`으로 수학각 변환)** 으로 해석한다. `ISWDINT=2`의 read 처리는 두 열에 `WINDSCT` 배율만 곱할 뿐이어서 (`input.f90:6934-6939`) **성분 입력은 v12.4에서 조용히 오독된다**. 실재하는 옵션은 `ISWDINT=0`(불어가는 방향) / `=1`(불어오는 방향 — read 시 180° 반전, `input.f90:6923-6933`)뿐. 상세: [[efdc-tidal-forcing-conventions-v12]] §5.","> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)** — `WSER.INP`의 `ISWDINT`: DSI 블로그·wser 헤더는 `ISWDINT=2`를 ""동/북 속도 성분 입력""으로 기술하나, v12.4 런타임(`caltsxy.f90:243-250`, TSWND의 유일한 런타임 소비처)은 **항상 1열=풍속, 2열=풍향(불어가는 쪽 나침반 방위, `DEGM=90−방향`으로 수학각 변환)** 으로 해석한다. `ISWDINT=2`의 read 처리는 두 열에 `WINDSCT` 배율만 곱할 뿐이어서 (`input.f90:7086-7091`) **성분 입력은 v12.4에서 조용히 오독된다**. 실재하는 옵션은 `ISWDINT=0`(불어가는 방향) / `=1`(불어오는 방향 — read 시 180° 반전, `input.f90:6923-6933`)뿐. 상세: [[efdc-tidal-forcing-conventions-v12]] §5."
models/EFDC/manual-notes/efdc-implementation-guide.md,257,C,yes,EFDC/input.f90:7075-7085; complete ranges equal,"> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)** — `WSER.INP`의 `ISWDINT`: DSI 블로그·wser 헤더는 `ISWDINT=2`를 ""동/북 속도 성분 입력""으로 기술하나, v12.4 런타임(`caltsxy.f90:243-250`, TSWND의 유일한 런타임 소비처)은 **항상 1열=풍속, 2열=풍향(불어가는 쪽 나침반 방위, `DEGM=90−방향`으로 수학각 변환)** 으로 해석한다. `ISWDINT=2`의 read 처리는 두 열에 `WINDSCT` 배율만 곱할 뿐이어서 (`input.f90:7086-7091`) **성분 입력은 v12.4에서 조용히 오독된다**. 실재하는 옵션은 `ISWDINT=0`(불어가는 방향) / `=1`(불어오는 방향 — read 시 180° 반전, `input.f90:6923-6933`)뿐. 상세: [[efdc-tidal-forcing-conventions-v12]] §5.","> ⚠️ **v12.4 소스 드리프트 (검증 2026-07)** — `WSER.INP`의 `ISWDINT`: DSI 블로그·wser 헤더는 `ISWDINT=2`를 ""동/북 속도 성분 입력""으로 기술하나, v12.4 런타임(`caltsxy.f90:243-250`, TSWND의 유일한 런타임 소비처)은 **항상 1열=풍속, 2열=풍향(불어가는 쪽 나침반 방위, `DEGM=90−방향`으로 수학각 변환)** 으로 해석한다. `ISWDINT=2`의 read 처리는 두 열에 `WINDSCT` 배율만 곱할 뿐이어서 (`input.f90:7086-7091`) **성분 입력은 v12.4에서 조용히 오독된다**. 실재하는 옵션은 `ISWDINT=0`(불어가는 방향) / `=1`(불어오는 방향 — read 시 180° 반전, `input.f90:7075-7085`)뿐. 상세: [[efdc-tidal-forcing-conventions-v12]] §5."
