id,note,note_line,wiki_claim,ref,source,old_ranges,new_ranges,span,hunks
C1-1,models/Celeris/source-analysis/celeris-breaking-boundary.md,81,`main()`은 한 셀에서 **periodic → sponge → solid → incident wave → river stage/discharge → island/negative-depth cleanup** 순으로 `BCState`를 덮어쓴다(`shaders/BoundaryPass.wgsl:184-595`). 네 변(`west/east/south/north`) 각각 `*_boundary_type` 정수로 분기. 타입 코드:,shaders/BoundaryPass.wgsl:184-595,shaders/BoundaryPass.wgsl,184-595,280-725,412,"[{""tag"": ""insert"", ""old"": ""419-419"", ""new"": ""515-548"", ""old_text"": [""    // Constant elevation boundary conditions""], ""new_text"": [""    // Added by Codex: Start boundary time-series forcing conditions."", ""    // west boundary"", ""    if (globals.west_boundary_type == 5 && idx.x <= 2) {"", ""        let coordinate = BoundaryTimeSeriesYCoordinate(idx);"", ""        BCState = BoundaryTimeSeriesState(2, coordinate, globals.ts_num_points_west);"", ""        BCState_Sed = zero;""]}]"
C1-2,models/Celeris/source-analysis/celeris-breaking-boundary.md,184,"`main` 끝에서 임시 텍스처에 기록(`:592-594`): `txNewState ← BCState`, `txNewState_Sed ← BCState_Sed`, `txtemp_Breaking ← BCState_Breaking`. canonical state로의 복사는 JS(`Handler_BoundaryPass.js`는 바인딩만 정의, binding 5/6/8이 write-only storage)가 담당. 입력 state는 binding 1 `current_stateUVstar`(`Handler_BoundaryPass.js:100",Handler_BoundaryPass.js:100-147,js/Handler_BoundaryPass.js,100-147,REANCHOR(100-147),48,"[{""tag"": ""replace"", ""old"": ""100-100"", ""new"": ""138-140"", ""old_text"": [""export function create_BoundaryPass_BindGroup(device, uniformBuffer, current_stateUVstar, txBottom, txWaves, txNewState_Sed, txtemp, txtemp_Sed, txBreaking, txtemp_Breaking, txBoundaryForcing) {""], ""new_text"": [""// export function create_BoundaryPass_BindGroup(device, uniformBuffer, current_stateUVstar, txBottom, txWaves, txNewState_Sed, txtemp, txtemp_Sed, txBreaking, txtemp_Breaking, txBoundaryForcing) {"", ""// Added by Codex: Add four optional boundary time-series textures for boundary_type == 5."", ""export function create_BoundaryPass_BindGroup(device, uniformBuffer, current_stateUVstar, txBottom, txWaves, txNewState_Sed, txtemp, txtemp_Sed, txBreaking, txtemp_Breaking, txBoundaryForcing, txBoundaryTimeSeriesSouth, txBoundaryTimeSeriesNorth, txBoundaryTimeSeriesWest, txBoundaryTimeSeriesEast) {""]}, {""tag"": ""insert"", ""old"": ""145-145"", ""new"": ""185-201"", ""old_text"": [""            }""], ""new_text"": [""            },"", ""            // Added by Codex: Start boundary time-series forcing texture resources."", ""            {"", ""                binding: 10,"", ""                resource: txBoundaryTimeSeriesSouth.createView()"", ""            },""]}, {""tag"": ""insert"", ""old"": ""146-146"", ""new"": ""203-203"", ""old_text"": [""        ]""], ""new_text"": [""            // Added by Codex: End boundary time-series forcing texture resources.""]}]"
C1-3,models/Celeris/source-analysis/celeris-breaking-boundary.md,192,"- **단일 sine**(`buildSineWaveData`, `Wave_Generator.js:44-50`): `[0.5·H, T, dir(rad), 0]` — 진폭은 파고의 절반. `incident_wave_H/T/direction`(config)에서.",Wave_Generator.js:44-50,js/Wave_Generator.js,44-50,44-60,7,"[{""tag"": ""replace"", ""old"": ""47-47"", ""new"": ""47-57"", ""old_text"": [""    const waveDirection = toRadians(calc_constants.incident_wave_direction);""], ""new_text"": [""    const requestedDirectionDegrees = finiteOrDefault(calc_constants.incident_wave_direction, 0.0);"", ""    const geometry = getIncidentBoundaryGeometry(calc_constants);"", ""    const waveDirectionDegrees = geometry.hasTransversePeriodicBoundaries"", ""        ? fitDirectionToPeriodicBoundary("", ""            requestedDirectionDegrees,"", ""            1.0 / wavePeriod,""]}, {""tag"": ""replace"", ""old"": ""49-49"", ""new"": ""59-59"", ""old_text"": [""    return { numberOfWaves: 1, waveData: [[0.5 * waveHeight, wavePeriod, waveDirection, 0.0]] };""], ""new_text"": [""    return { numberOfWaves: 1, waveData: [[0.5 * waveHeight, wavePeriod, waveDirectionDegrees * DEG_TO_RAD, 0.0]] };""]}]"
C1-4,models/Celeris/source-analysis/celeris-pipeline-graph.md,30,"- `total_time = frame_count * dt` (`js/main.js:1881`) — `dt`는 고정 (Courant 기반, `constants_load_calc.js`에서 산출). 프레임 시작 시 `await device.queue.onSubmittedWorkDone()`로 큐 플러시 (`js/main.js:1546`).",js/main.js:1881,js/main.js,1881-1881,REANCHOR(1881-1881),1,"[{""tag"": ""replace"", ""old"": ""1881-1881"", ""new"": ""2622-2624"", ""old_text"": [""                total_time = frame_count * calc_constants.dt;  //simulation time - at this point, we know values at times n-1 and previous.  We are predicted values at n""], ""new_text"": [""                // total_time = frame_count * calc_constants.dt;  //simulation time - at this point, we know values at times n-1 and previous.  We are predicted values at n"", ""                // Added by Codex: Reference all physical model times to the first loaded boundary time-series time when nested forcing is active."", ""                total_time = frame_count * calc_constants.dt + calc_constants.start_time_shift;  //simulation time - at this point, we know values at times n-1 and previous.  We are predicted values at n""]}]"
C1-5,models/Celeris/source-analysis/celeris-pipeline-graph.md,69,"타임스텝 말미 공통 후처리 (corrector 유무 무관, `js/main.js:2122–2178`):",js/main.js:2122–2178,js/main.js,2122-2178,2867-2928,57,"[{""tag"": ""insert"", ""old"": ""2145-2145"", ""new"": ""2890-2894"", ""old_text"": [""                // shift gradient textures""], ""new_text"": [""                // Added by Codex: Store rectangle-edge eta/hu/hv on the GPU only at requested nested-output times."", ""                // captureNestedGridBoundaryOutputIfNeeded(commandEncoderStack, total_time);"", ""                // Added by Codex: Capture every active nested-grid output rectangle at its own requested output time."", ""                captureNestedGridBoundaryOutputsIfNeeded(commandEncoderStack, total_time);"", """"]}]"
C1-6,models/Celeris/source-analysis/celeris-source-map.md,19,"Celeris는 동일 FV(유한체적) 골격 위에서 **3개 방정식 계열**을 config로 전환한다 (`NLSW_or_Bous`). 셰이더 fetch 분기는 `js/main.js:1320-1368`, 패스 시퀀스 설명은 `docs/architecture/SIMULATION_PIPELINE.md`.",js/main.js:1320-1368,js/main.js,1320-1368,1537-1593,49,"[{""tag"": ""replace"", ""old"": ""1338-1338"", ""new"": ""1555-1563"", ""old_text"": [""    const Pass3_ShaderCode_NLSW = await fetchShader('/shaders/Pass3_NLSW.wgsl')""], ""new_text"": [""    // const Pass3_ShaderCode_NLSW = await fetchShader('/shaders/Pass3_NLSW.wgsl')"", ""    // Added by Codex: Select the spherical NLSW source/integration shader only for grid_type == 2."", ""    var Pass3_ShaderCode_NLSW = null;"", ""    if (calc_constants.grid_type == 2) {"", ""        console.log(\""Using spherical-grid NLSW equations in Pass3\"");"", ""        Pass3_ShaderCode_NLSW = await fetchShader('/shaders/Pass3_NLSW_Spherical.wgsl');""]}]"
C1-7,models/Celeris/source-analysis/celeris-source-map.md,27,"수치 골격 (각 timestep, `SIMULATION_PIPELINE.md` §Timestep + `main.js:1893-2174`):",main.js:1893-2174,js/main.js,1893-2174,2638-2924,282,"[{""tag"": ""insert"", ""old"": ""2145-2145"", ""new"": ""2890-2894"", ""old_text"": [""                // shift gradient textures""], ""new_text"": [""                // Added by Codex: Store rectangle-edge eta/hu/hv on the GPU only at requested nested-output times."", ""                // captureNestedGridBoundaryOutputIfNeeded(commandEncoderStack, total_time);"", ""                // Added by Codex: Capture every active nested-grid output rectangle at its own requested output time."", ""                captureNestedGridBoundaryOutputsIfNeeded(commandEncoderStack, total_time);"", """"]}]"
C1-8,models/Celeris/source-analysis/celeris-source-map.md,57,"| `constants_load_calc.js` | 556 | 파이프라인 설정·기본 config·파생 상수 계산 (Courant·dt·Bcoef 등). ★**dt 정적 확정(2026-07-12)**: `dt=Courant_num·min(dx,dy)/√(g·base_depth)`(:404, Courant_num 기본 0.15 :27) — 재계산은 main.js:1614 의 `html_update>0` 블록(UI 변경 시)뿐, frame 루프 per-step CFL 재산정 없음 |",main.js:1614,js/main.js,1614-1614,REANCHOR(1614-1614),1,"[{""tag"": ""replace"", ""old"": ""1614-1614"", ""new"": ""2296-2333"", ""old_text"": [""            calc_constants.dt = calc_constants.Courant_num * Math.min(calc_constants.dx,calc_constants.dy) / Math.sqrt(calc_constants.g * calc_constants.base_depth);""], ""new_text"": [""            // calc_constants.dt = calc_constants.Courant_num * Math.min(calc_constants.dx,calc_constants.dy) / Math.sqrt(calc_constants.g * calc_constants.base_depth);"", ""            // Added by Codex: Start grid-type-specific timestep refresh for HTML-driven updates."", ""            if (calc_constants.grid_type == 2) {"", ""                if (calc_constants.NLSW_or_Bous != 0) {"", ""                    console.warn(\""Spherical grid mode is currently NLSW-only; forcing NLSW_or_Bous to 0.\"");"", ""                    calc_constants.NLSW_or_Bous = 0;""]}]"
C1-9,models/Celeris/source-analysis/celeris-source-map.md,145,"핸들러는 바인드그룹 레이아웃을 정의하고, `main.js`가 동명 셰이더 코드와 짝지어 파이프라인을 만든 뒤(`main.js:1392-1422`) frame 루프에서 dispatch(`main.js:1893-2174`)한다. config 분기로 셰이더 파일이 바뀌어도 핸들러(레이아웃)는 동일.",main.js:1392-1422,js/main.js,1392-1422,1619-1651,31,"[{""tag"": ""insert"", ""old"": ""1413-1413"", ""new"": ""1640-1641"", ""old_text"": [""""], ""new_text"": [""    // Added by Codex: Pipeline for deferred nested-grid boundary time-series extraction."", ""    const ExtractNestedBoundaryTimeSeries_Pipeline = createComputePipeline(device, ExtractNestedBoundaryTimeSeries_ShaderCode, ExtractNestedBoundaryTimeSeries_BindGroupLayout, allComputePipelines);""]}]"
C1-10,models/Celeris/source-analysis/celeris-source-map.md,145,"핸들러는 바인드그룹 레이아웃을 정의하고, `main.js`가 동명 셰이더 코드와 짝지어 파이프라인을 만든 뒤(`main.js:1392-1422`) frame 루프에서 dispatch(`main.js:1893-2174`)한다. config 분기로 셰이더 파일이 바뀌어도 핸들러(레이아웃)는 동일.",main.js:1893-2174,js/main.js,1893-2174,2638-2924,282,"[{""tag"": ""insert"", ""old"": ""2145-2145"", ""new"": ""2890-2894"", ""old_text"": [""                // shift gradient textures""], ""new_text"": [""                // Added by Codex: Store rectangle-edge eta/hu/hv on the GPU only at requested nested-output times."", ""                // captureNestedGridBoundaryOutputIfNeeded(commandEncoderStack, total_time);"", ""                // Added by Codex: Capture every active nested-grid output rectangle at its own requested output time."", ""                captureNestedGridBoundaryOutputsIfNeeded(commandEncoderStack, total_time);"", """"]}]"
