id,note,note_line,wiki_claim,old_evidence,new_evidence,semantic_meaning_changed,proposed_classification,reason_type,confidence,exact_evidence
"C1-1","models/Celeris/source-analysis/celeris-breaking-boundary.md","81","`main()`은 한 셀에서 **periodic → sponge → solid → incident wave → river stage/discharge → island/negative-depth cleanup** 순으로 `BCState`를 덮어쓴다(`shaders/BoundaryPass.wgsl:184-595`). 네 변(`west/east/south/north`) 각각 `*_boundary_type` 정수로 분기. 타입 코드:","f6fd78b:shaders/BoundaryPass.wgsl:184-595","ebca435:shaders/BoundaryPass.wgsl:280-725; decisive:515-547,549-615,620-725","true","UPDATE_REQUIRED","SEMANTIC_CHANGE","HIGH","f6fd78b:shaders/BoundaryPass.wgsl:352-417의 incident 뒤에는 :419부터 river 설정이 이어진다. ebca435에서는 incident가 :448-513에 유지되고 :517-545에 네 변 boundary_type == 5 분기가 추가되어 BCState = BoundaryTimeSeriesState(...) 및 Sed/Breaking zero를 기록한 뒤 :549부터 river로 진행한다. :268-276은 공간·시간 보간한 eta/hu/hv를 반환한다. 따라서 노트 :81의 전체 덮어쓰기 순서와 :83-89의 타입 열거에는 type 5가 빠졌다. 기존 타입들의 상대 순서와 마지막 cleanup은 유지된다."
"C1-2","models/Celeris/source-analysis/celeris-breaking-boundary.md","184","`main` 끝에서 임시 텍스처에 기록(`:592-594`): `txNewState ← BCState`, `txNewState_Sed ← BCState_Sed`, `txtemp_Breaking ← BCState_Breaking`. canonical state로의 복사는 JS(`Handler_BoundaryPass.js`는 바인딩만 정의, binding 5/6/8이 write-only storage)가 담당. 입력 state는 binding 1 `current_stateUVstar`(`Handler_BoundaryPass.js:100","f6fd78b:js/Handler_BoundaryPass.js:100-147","ebca435:js/Handler_BoundaryPass.js:140-206 (manual reanchor); supporting:14-19,48-85,150-180; shaders/BoundaryPass.wgsl:722-724; js/main.js:2694-2699,2728-2732","false","NO_ACTION","","HIGH","새 함수 시작은 주석 :138이 아니라 실행 선언 :140이다. binding 1 = current_stateUVstar(:150-152), binding 5 = txtemp(:166-168), 6 = txtemp_Sed(:170-172), 8 = txtemp_Breaking(:178-180)이며 layout의 storage 5/6/8은 여전히 write-only(:48-85). shader :722-724의 세 textureStore와 main :2696-2699,:2732의 canonical 복사도 유지된다. 인자 4개와 binding 10-13(:186-203)은 추가됐지만 이 노트가 주장한 기존 binding 번호·입출력·JS 복사 책임을 바꾸지 않는다. CSV 입력 wiki_claim은 인용 중간에서 잘렸으므로 실제 노트 :184 전체를 읽어 판정했다."
"C1-3","models/Celeris/source-analysis/celeris-breaking-boundary.md","192","- **단일 sine**(`buildSineWaveData`, `Wave_Generator.js:44-50`): `[0.5·H, T, dir(rad), 0]` — 진폭은 파고의 절반. `incident_wave_H/T/direction`(config)에서.","f6fd78b:js/Wave_Generator.js:44-50","ebca435:js/Wave_Generator.js:44-60; supporting:255-286,289-340","true","UPDATE_REQUIRED","BEHAVIOR_CHANGE","HIGH","f6fd78b:js/Wave_Generator.js:47은 toRadians(calc_constants.incident_wave_direction), :49는 그 값을 그대로 단일 sine의 direction으로 반환한다. ebca435:47-57은 요청 각도를 받은 뒤 geometry.hasTransversePeriodicBoundaries일 때 fitDirectionToPeriodicBoundary를 적용하고 :59에서 보정된 각도를 rad로 반환한다. :297-332는 incident 변의 횡방향 양쪽 경계가 type 3인지 확인한다. 파고의 절반·주기·위상 0·rad 형식은 그대로이나 단일 sine의 dir을 config 방향의 단순 단위변환으로 읽으면 이제 성립하지 않는다. 노트 :194의 주기경계 보정 일반 설명도 함께 확인했다."
"C1-4","models/Celeris/source-analysis/celeris-pipeline-graph.md","30","- `total_time = frame_count * dt` (`js/main.js:1881`) — `dt`는 고정 (Courant 기반, `constants_load_calc.js`에서 산출). 프레임 시작 시 `await device.queue.onSubmittedWorkDone()`로 큐 플러시 (`js/main.js:1546`).","f6fd78b:js/main.js:1881-1881","ebca435:js/main.js:2624 (manual reanchor); supporting:1719,2224-2229,2627-2632; js/File_Loader.js:458-465,490-506","true","UPDATE_REQUIRED","BEHAVIOR_CHANGE","HIGH","실행식은 주석 :2622가 아닌 :2624의 total_time = frame_count * calc_constants.dt + calc_constants.start_time_shift이다. File_Loader :458은 shift를 0으로 초기화하고, 활성 type-5 입력의 공통 시간벡터가 있으면 :506에서 첫 시각 sharedTimes[0]을 대입한다. main :2629,:2631은 이 시각을 경계 uniform·보간에 사용한다. 일반 입력에서는 옛 식과 같지만 nonzero 시작 시각의 nested 입력에는 노트의 무조건적 시간식이 맞지 않는다. 프레임 시작 GPU 동기화의 600000ms 조건은 old :1542-1548 / new :2224-2230에 동일하며 이번 변화가 아니다."
"C1-5","models/Celeris/source-analysis/celeris-pipeline-graph.md","69","타임스텝 말미 공통 후처리 (corrector 유무 무관, `js/main.js:2122–2178`):","f6fd78b:js/main.js:2122-2178","ebca435:js/main.js:2867-2928; decisive:2893; callee:2181-2208; bindings:2153; shader:shaders/ExtractNestedBoundaryTimeSeries.wgsl:23-50","true","UPDATE_REQUIRED","SEMANTIC_CHANGE","HIGH","old main :2143의 Sed 종료 다음은 :2145부터 history shift였다. new main :2888 Sed 종료와 :2895 history shift 사이 :2893에 captureNestedGridBoundaryOutputsIfNeeded가 추가됐다. callee :2183-2196은 active·sampleCount·targetTime 조건을 통과한 각 rectangle에 ExtractNestedBoundaryTimeSeries를 dispatch한다. :2153의 입력은 txNewState와 txBottom이며 출력은 네 변의 sample 행이다. 기존 history/state swap/Pass1/CalcMeans/CalcWaveHeight의 상대 순서는 그대로지만, 노트 :69-84의 timestep 말미 패스 그래프는 활성 nested 출력의 추가 dispatch를 누락한다. 단순 줄번호 이동을 UPDATE 이유로 쓰지 않았다."
"C1-6","models/Celeris/source-analysis/celeris-source-map.md","19","Celeris는 동일 FV(유한체적) 골격 위에서 **3개 방정식 계열**을 config로 전환한다 (`NLSW_or_Bous`). 셰이더 fetch 분기는 `js/main.js:1320-1368`, 패스 시퀀스 설명은 `docs/architecture/SIMULATION_PIPELINE.md`.","f6fd78b:js/main.js:1320-1368","ebca435:js/main.js:1537-1594; decisive:1558-1563; js/constants_load_calc.js:454-469; shaders/Pass3_NLSW_Spherical.wgsl:151-178,205-244","true","UPDATE_REQUIRED","SEMANTIC_CHANGE","HIGH","f6fd78b main :1338은 NLSW shader를 Pass3_NLSW.wgsl로 고정 fetch한다. ebca435 main :1558-1563은 grid_type == 2이면 Pass3_NLSW_Spherical.wgsl을 선택하고 나머지는 기존 파일을 선택한다. constants :454-469는 spherical일 때 NLSW_or_Bous=0, Accuracy_mode=0, useSedTransModel=0, useBreakingModel=0을 강제한다. 세 방정식 계열이라는 수 자체는 유지되며 네 번째 계열이 생긴 것은 아니다. 다만 노트 :19를 받치는 :21-25의 활성 shader 표(:23의 NLSW 단일 파일)와 NLSW_or_Bous만으로 선택을 설명한 범위는 spherical 조건을 포함하면 불완전해졌다. UPDATE 대상은 이 선택 의미·매핑이다."
"C1-7","models/Celeris/source-analysis/celeris-source-map.md","27","수치 골격 (각 timestep, `SIMULATION_PIPELINE.md` §Timestep + `main.js:1893-2174`):","f6fd78b:js/main.js:1893-2174","ebca435:js/main.js:2638-2924; unchanged core:2638-2889; added output:2890-2894; shader choice:1558-1563","false","REVIEW_ONLY","","HIGH","노트 :27-39는 수력 수치 골격의 축약 목록이며 기존부터 history·진단 등 모든 후처리를 열거하지 않는다. old main :1893-2144와 new :2638-2889는 줄바꿈 정규화 후 동일하다. predictor/corrector의 Pass0→Pass1→Pass2→선택 breaking/CW→Pass3→Boundary→PCR 경로가 재배열되지 않았다. 교차 hunk는 이 골격 뒤의 nested 출력(:2893)이다. 그러므로 broad 인용 전체를 의미 변경으로 올리지 않는다. 다만 같은 노트 :35의 구체적 Pass3 파일 목록에는 spherical 변형이 빠졌으므로 추가 조사 B 및 C1-6의 선택 매핑 검토와 연결해 REVIEW_ONLY로 남긴다."
"C1-8","models/Celeris/source-analysis/celeris-source-map.md","57","| `constants_load_calc.js` | 556 | 파이프라인 설정·기본 config·파생 상수 계산 (Courant·dt·Bcoef 등). ★**dt 정적 확정(2026-07-12)**: `dt=Courant_num·min(dx,dy)/√(g·base_depth)`(:404, Courant_num 기본 0.15 :27) — 재계산은 main.js:1614 의 `html_update>0` 블록(UI 변경 시)뿐, frame 루프 per-step CFL 재산정 없음 |","f6fd78b:js/main.js:1614-1614","ebca435:js/main.js:2294-2333 (manual reanchor; spherical assignment:2328; Cartesian assignment:2331); js/constants_load_calc.js:454-487","true","UPDATE_REQUIRED","BEHAVIOR_CHANGE","HIGH","old main :1614의 단일 dt 대입은 new main :2298-2332의 grid_type 분기로 바뀐다. spherical 경로는 dx/dy를 도→rad로 변환하고 R*abs(dlat), 각 셀중심 위도의 R*abs(cos(phi))*abs(dlon) 중 최소 물리 간격을 구해 :2328에서 Courant_num*minPhysicalGridSpacing/sqrt(g*base_depth)를 쓴다. Cartesian :2331에는 기존 식이 남는다. 초기화도 constants :454-487에서 같은 분기다. 두 파일의 실행 dt 대입은 constants :484,:486 및 main :2328,:2331이고 main 대입은 여전히 html_update>0 안이다. 따라서 무조건 min(dx,dy)를 쓰는 공식은 바뀌지만 per-step 적응 CFL이 없다는 핵심은 유지된다."
"C1-9","models/Celeris/source-analysis/celeris-source-map.md","145","핸들러는 바인드그룹 레이아웃을 정의하고, `main.js`가 동명 셰이더 코드와 짝지어 파이프라인을 만든 뒤(`main.js:1392-1422`) frame 루프에서 dispatch(`main.js:1893-2174`)한다. config 분기로 셰이더 파일이 바뀌어도 핸들러(레이아웃)는 동일.","f6fd78b:js/main.js:1392-1422","ebca435:js/main.js:1619-1651; decisive:1626-1627,1641; js/Handler_Pass3.js:179-199,202-204; js/Handler_ExtractNestedBoundaryTimeSeries.js:4-108","false","NO_ACTION","","HIGH","새 main :1619-1651에서도 handler의 layout와 fetch한 shader code를 createComputePipeline에 넘긴다. :1641의 ExtractNestedBoundaryTimeSeries도 같은 패턴이다. spherical/Cartesian NLSW와 Bous는 :1626-1627에서 동일 Pass3_BindGroupLayout을 사용하고 Handler_Pass3.js는 양 snapshot의 blob이 동일하다. main :1078에서 binding 19에 넘기는 texture가 grid_type에 따라 txSphericalMetrics/txDissipationFlux로 달라지지만 layout 동일이라는 노트 :145의 주장을 반박하지 않는다. 뒤 대응표의 신규 행 누락은 B에서 별도 지목했다."
"C1-10","models/Celeris/source-analysis/celeris-source-map.md","145","핸들러는 바인드그룹 레이아웃을 정의하고, `main.js`가 동명 셰이더 코드와 짝지어 파이프라인을 만든 뒤(`main.js:1392-1422`) frame 루프에서 dispatch(`main.js:1893-2174`)한다. config 분기로 셰이더 파일이 바뀌어도 핸들러(레이아웃)는 동일.","f6fd78b:js/main.js:1893-2174","ebca435:js/main.js:2638-2924; indirect nested dispatch:2893 -> 2181-2196; Pass3 dispatch:2678-2683,2811-2816","false","NO_ACTION","","HIGH","노트 :145의 main frame 루프가 준비된 pipeline/bind group을 dispatch한다는 책임 분리는 유지된다. 수력 루프 old :1893-2144 / new :2638-2889는 줄바꿈만 정규화하면 동일하고, nested 출력도 frame 안 :2893에서 helper :2181-2196으로 들어가 runComputeShader_EncStack을 호출한다. 함수 본문이 frame 앞에 위치한다는 사실은 frame 실행 경유라는 주장을 바꾸지 않는다. C1-9와 같은 위키 문장의 두 번째 인용이므로 신규 패스 존재만으로 중복 UPDATE하지 않았다."
