note,line,classification,confidence,evidence,reason
models/ADCIRC/manifest.md,52,NOT_A_CLAIM,HIGH,models/ADCIRC/manifest.md:49-55,자료 수집 충실도에 관한 메타 기록이며 모델의 보편 동작 단언이 아니다.
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,49,SUPPORTED,HIGH,models/ADCIRC/raw/source_code/adcirc/src/vsmy.F:990-1030,VSSOL 문맥에서 열거된 이류·응력·압력 항이 Fr에 들어가고 좌변은 별도 계수로 조립된다.
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,80,SUPPORTED,HIGH,models/ADCIRC/raw/source_code/adcirc/src/vsmy.F:990-1030,이 노트가 한정한 VSSOL의 수평·연직 이류가 모두 우변에 조립된다.
models/ADCIRC/source-analysis/adcirc-tidal-forcing.md,50,OVERCLAIM,MEDIUM,models/ADCIRC/raw/source_code/adcirc/src/sun_moon_system.F90:49-84,인용된 천체력 루틴은 달·태양 좌표 계산을 보여줄 뿐 모든 조석 성분과 비선형 조석까지 포함함을 뒷받침하지 않는다.
models/ADCIRC/source-analysis/adcirc-topic-map.md,30,NOT_A_CLAIM,HIGH,models/ADCIRC/source-analysis/adcirc-topic-map.md:27-33,판본 간 전칭 해석을 금지하는 읽기 안내다.
models/ADCIRC/source-analysis/adcirc-topic-map.md,41,SCOPE_STATEMENT,HIGH,models/ADCIRC/source-analysis/adcirc-topic-map.md:38-44,기능 지도에서 격자·좌표를 포함하는 이유와 조사 범위를 서술한다.
models/ADCIRC/source-analysis/adcirc-topic-map.md,62,SCOPE_STATEMENT,HIGH,models/ADCIRC/source-analysis/adcirc-topic-map.md:59-65,참조서의 열거 범위와 검증 한계를 명시한 문장이다.
models/ADCIRC/source-analysis/adcirc_asgs_operational_system.md,104,SUPPORTED,HIGH,models/ADCIRC/raw/source_code/asgs/doc/util/aswip.1.txt:80-88,NWS20의 선택값 4가 사용 가능한 모든 isotach를 사용한다고 인용 원문에 명시되어 있다.
models/ADCIRC/source-analysis/adcirc_gahm_vortex_model.md,170,SUPPORTED,HIGH,models/ADCIRC/raw/source_code/gahm/src/preprocessor/Preprocessor.cpp:137-146,모든 분면을 순회하며 snap의 최대풍 반경을 대입한다.
models/ADCIRC/source-analysis/adcirc_gahm_vortex_model.md,188,SUPPORTED,HIGH,models/ADCIRC/raw/source_code/gahm/src/preprocessor/Preprocessor.cpp:68-101,snap·isotach·quadrant의 중첩 반복문이 주장한 전체 집합을 순회한다.
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,138,NOT_A_CLAIM,HIGH,models/ADCIRC/raw/source_code/adcirc-testsuite/test_runner/adcirc_test/adcirctest.py:527-545,모든 출력의 순수 절대오차로 해석하지 말라는 제한 문장으로 전칭 긍정 단언이 아니다.
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,183,NOT_A_CLAIM,HIGH,_staging/adcirc-tide-data-20260914/sources/fes2022-handbook.pdf:PDF p.13,모든 위치에서 모든 분조를 사용했다는 전칭을 부정하는 설명이며 원문에도 동일한 한계가 있다.
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,364,NOT_A_CLAIM,HIGH,models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md:361-367,모든 해역에 일괄 권고하지 않는다는 사용상 한계를 명시한다.
models/CADMAS-SURF/source-analysis/cadmas-2f-stier-and-hidem-dem-coupling.md,18,SCOPE_STATEMENT,HIGH,models/CADMAS-SURF/source-analysis/cadmas-2f-stier-and-hidem-dem-coupling.md:15-21,잔여 파일을 다루는 노트의 범위 설명이다.
models/CADMAS-SURF/source-analysis/cadmas-surf3d-architecture-source-map.md,20,SCOPE_STATEMENT,HIGH,models/CADMAS-SURF/source-analysis/cadmas-surf3d-architecture-source-map.md:17-23,이하 코드 인용의 공통 경로를 정의한다.
models/CADMAS-SURF/source-analysis/cadmas-surf3d-architecture-source-map.md,63,SUPPORTED,HIGH,models/CADMAS-SURF/raw/source_code/Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami/Simulators/CADMAS-SURF-3D/Source code/vf_a1main.f:231-300,해당 데이터모델의 활성 배열 선언은 모두 ALLOCATABLE이며 고정 배열 대안은 주석 처리되어 있다.
models/CADMAS-SURF/source-analysis/cadmas-surf3d-stier-and-auxiliary-physics.md,19,SCOPE_STATEMENT,HIGH,models/CADMAS-SURF/source-analysis/cadmas-surf3d-stier-and-auxiliary-physics.md:16-22,잔여 파일을 다루는 노트의 범위 설명이다.
models/CADMAS-SURF/source-analysis/str3d-contact-and-fluid-coupling.md,44,SUPPORTED,MEDIUM,models/CADMAS-SURF/raw/source_code/Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami/Simulators/STR3D/Source code/mpi_comm/c_mpi_init.f:8-24; models/CADMAS-SURF/raw/source_code/Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami/Simulators/STR3D/Source code/mpi_comm/c_mpi_allreduce_i.f:9-10; models/CADMAS-SURF/raw/source_code/Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami/Simulators/STR3D/Source code/mpi_comm/c_mpi_barrier.f:7,열거된 C_MPI 통신 래퍼의 호출에서 CPLWORLD 사용을 확인했다.
models/CADMAS-SURF/source-analysis/str3d-stier-parallel-mesh-io.md,18,SCOPE_STATEMENT,HIGH,models/CADMAS-SURF/source-analysis/str3d-stier-parallel-mesh-io.md:15-21,잔여 디렉터리를 다루는 노트의 범위 설명이다.
models/Celeris/manual-notes/celeris-architecture-and-config.md,11,NOT_A_CLAIM,HIGH,models/Celeris/manual-notes/celeris-architecture-and-config.md:8-14,노트의 인용 방식에 관한 메타 서술이다.
models/Celeris/manual-notes/celeris-architecture-and-config.md,152,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/docs/architecture/WEBGPU_BINDING_PATTERN.md:17-23,인용 문서가 셰이더의 모든 텍스처 치수 가정을 직접 명시한다.
models/Celeris/manual-notes/celeris-architecture-and-config.md,159,NOT_A_CLAIM,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/docs/architecture/WEBGPU_BINDING_PATTERN.md:54-63,셰이더 변경 시 수행할 점검 목록이며 보편 동작 단언이 아니다.
models/Celeris/manual-notes/celeris-architecture-and-config.md,196,SUPPORTED,MEDIUM,models/Celeris/raw/source_code/Celeris-WebGPU/docs/architecture/WEBGPU_BINDING_PATTERN.md:3-5,아키텍처 원문이 각 compute·render pass에 handler와 바인딩 계약이 있다고 명시한다.
models/Celeris/source-analysis/celeris-boussinesq-solver.md,125,SUPPORTED,MEDIUM,models/Celeris/raw/source_code/Celeris-WebGPU/shaders/TriDiag_PCRx.wgsl:20-97; models/Celeris/raw/source_code/Celeris-WebGPU/js/Run_Tridiag_Solver.js:48-57,PCR 패스가 각 invocation에서 stride 이웃과 현재 미지수를 결합하도록 구현되어 있다.
models/Celeris/source-analysis/celeris-boussinesq-solver.md,145,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/shaders/TriDiag_PCRx.wgsl:89-104,출력 대각 성분을 분기 없이 상수 1.0으로 기록한다.
models/Celeris/source-analysis/celeris-breaking-boundary.md,105,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/shaders/BoundaryPass.wgsl:401-443,네 방향 solid 분기의 양쪽 하위 조건에서 모두 퇴적물 상태를 0으로 설정한다.
models/Celeris/source-analysis/celeris-breaking-boundary.md,115,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/shaders/BoundaryPass.wgsl:355-398,네 방향 sponge 분기마다 퇴적물 상태를 0으로 설정한다.
models/Celeris/source-analysis/celeris-breaking-boundary.md,144,SUPPORTED,MEDIUM,models/Celeris/raw/source_code/Celeris-WebGPU/shaders/BoundaryPass.wgsl:446-512,문맥에 열거된 sine·solitary 입사파 분기와 네 변에서 모두 퇴적물 상태를 0으로 설정한다.
models/Celeris/source-analysis/celeris-breaking-boundary.md,165,SUPPORTED,MEDIUM,"models/Celeris/raw/source_code/Celeris-WebGPU/shaders/BoundaryPass.wgsl:280-292,355-512,574-617",전칭은 문장에서 열거한 경계 분기로 한정되며 확인한 분기에서 퇴적물 0 또는 비음수 제한이 적용된다.
models/Celeris/source-analysis/celeris-fv-reconstruction.md,12,SCOPE_STATEMENT,HIGH,models/Celeris/source-analysis/celeris-fv-reconstruction.md:9-15,사용자가 예로 든 공통 코어의 노트 범위 설명에 해당한다.
models/Celeris/source-analysis/celeris-fv-reconstruction.md,102,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/shaders/Pass2.wgsl:84-91; models/Celeris/raw/source_code/Celeris-WebGPU/shaders/Pass2_HighOrder_HLLC.wgsl:171-178; models/Celeris/raw/source_code/Celeris-WebGPU/shaders/Pass2_HighOrder_HLLEM.wgsl:153-160,노트의 세 Pass2 변종에서 같은 파속 산식을 확인했다.
models/Celeris/source-analysis/celeris-pipeline-graph.md,115,SUPPORTED,HIGH,"models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:2637-2685,2757-2783",시간적분 스텝의 predictor가 공통 경로이고 corrector만 timeScheme==2로 제한된다.
models/Celeris/source-analysis/celeris-pipeline-graph.md,152,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:2634-2649,스텝 내부 Pass0 호출에 모드별 가드가 없다.
models/Celeris/source-analysis/celeris-pipeline-graph.md,153,SUPPORTED,HIGH,"models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:2634-2649,2912-2913",스텝의 공통 Pass1 호출과 말미 진단 재호출을 확인했다.
models/Celeris/source-analysis/celeris-pipeline-graph.md,154,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:2634-2649,스텝 내부 Pass2 호출에 모드별 가드가 없다.
models/Celeris/source-analysis/celeris-pipeline-graph.md,157,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:2692-2702,시간적분 스텝의 첫 BoundaryPass는 모드 조건 없이 호출된다.
models/Celeris/source-analysis/celeris-pipeline-graph.md,163,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:2910-2928,스텝 말미 CalcMeans 진단 호출에 추가 옵션 조건이 없다.
models/Celeris/source-analysis/celeris-pipeline-graph.md,164,SUPPORTED,HIGH,models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:2910-2928,스텝 말미 CalcWaveHeight 진단 호출에 추가 옵션 조건이 없다.
