note,line,fix_type,confidence,old_text,new_text,evidence,rationale
models/Celeris/source-analysis/celeris-source-map.md,201,REPLACE,HIGH,- `Config_Pipelines.js`·`Create_Textures.js`는 **범용 팩토리** — 패스별 셰이더/텍스처 바인딩은 전부 `main.js`가 결정.,"- `Config_Pipelines.js`·`Create_Textures.js`는 **범용 팩토리** — 패스별 셰이더/텍스처 선택과 바인딩 레이아웃 정의는 구분한다; 팩토리는 전달받은 layout을 사용하고(`js/Config_Pipelines.js:6-18`), Pass3의 바인딩 번호·타입은 `js/Handler_Pass3.js:3-30`에서 정의한다.",models/Celeris/raw/source_code/Celeris-WebGPU/js/Config_Pipelines.js:6-18; models/Celeris/raw/source_code/Celeris-WebGPU/js/Handler_Pass3.js:3-30,자원 선택과 바인딩 레이아웃 정의를 혼동한 역할 설명을 교체한다.
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,31,NARROW,HIGH,생성된 모든 텍스처는 `allTextures` Set에 추적 등록 → 재시작 시 일괄 `destroy()` (`js/main.js:225-229`).,`Create_Textures.js`의 텍스처 헬퍼로 생성한 텍스처는(`js/Create_Textures.js:2-99`) `allTextures` Set에 추적 등록 → 재시작 시 일괄 `destroy()` (`js/main.js:225-228`). `Model_Loaders.js`의 glTF 텍스처는 이 Set에 등록하지 않는다(`js/Model_Loaders.js:95-116`).,models/Celeris/raw/source_code/Celeris-WebGPU/js/Create_Textures.js:2-99; models/Celeris/raw/source_code/Celeris-WebGPU/js/main.js:225-228; models/Celeris/raw/source_code/Celeris-WebGPU/js/Model_Loaders.js:95-116,추적·정리 범위를 Set에 등록하는 텍스처 헬퍼로 한정한다.
models/Delft3D/manual-notes/delft3d-waq-user-manual.md,98,NARROW,HIGH,"- **반응속도 온도의존(거의 모든 process 공통)**: $k=k_{20}\,k_T^{(T-20)}$ (9.1, §9.3 p.201). $k_T$ 통상 1.01–1.10; 1.04면 10°C에서 20°C 속도의 68%, 1.07이면 10° 변화마다 배증/반감 (p.201).","- **반응속도 온도의존(여러 process에 적용)**: $k=k_{20}\,k_T^{(T-20)}$ (9.1, §9.3 p.201; `Delft3D-WAQ_User_Manual.pdf:PDF p.217`). $k_T$ 통상 1.01–1.10; 1.04면 10°C에서 20°C 속도의 68%, 1.07이면 10° 변화마다 배증/반감 (p.201).",models/Delft3D/raw/manuals/pdfs/Delft3D-WAQ_User_Manual.pdf:PDF p.217 (인쇄 p.201),원문의 many processes에 맞춰 적용 범위를 좁힌다.
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,164,NARROW,HIGH,"**열린 파일 관리:** 모든 NetCDF 는 `unc_open`/`unc_create` 통해 열어 추적, `unc_closeall` 로 일괄 종료 (`unstruc_netcdf_data.f90:18`). 최대 `maxopenfiles = 50` (`unstruc_netcdf_data.f90:21`), 배열 `open_files_`/`open_datasets_`/`nopen_files_` (`unstruc_netcdf_data.f90:22`).","**열린 파일 관리:** NetCDF 는 원칙적으로 `unc_open`/`unc_create` 를 통해 열어 추적하고 `unc_closeall` 로 일괄 종료한다 (`unstruc_netcdf_data.f90:18`). **예외 3곳이 실재한다** — `wricom.f90` 의 `nf90_open` 2곳과 `read_land_boundary_netcdf.f90` 1곳은 이 경로를 거치지 않는다. 최대 `maxopenfiles = 50` (`unstruc_netcdf_data.f90:21`), 배열 `o",wricom.f90 nf90_open ×2; read_land_boundary_netcdf.f90 nf90_open ×1 (dflowfm_kernel 전수 grep),Claude 재작성 — 실측 수치로 대체
models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,240,ADD_EVIDENCE,LOW,"- **I/O**: 중앙 `unstruc_netcdf`(16,909줄)가 map/rst/net/flowgeom 을 CF-old + UGRID 양 convention 으로 쓰고, his 는 별도 `unc_write_his`, class map 은 `unstruc_netcdf_map_class`. 모든 파일은 추적 리스트(`unc_open/create/closeall`)로 관리. (`unstruc_netcdf.f90:44,2469-2558`)","- **I/O**: 중앙 `unstruc_netcdf`(16,909줄)가 map/rst/net/flowgeom 을 CF-old + UGRID 양 convention 으로 쓰고, his 는 별도 `unc_write_his`, class map 은 `unstruc_netcdf_map_class`. NetCDF 파일은 추적 리스트(`unc_open/create/closeall`)로 관리하도록 규정한다(`unstruc_netcdf_data.f90:18-24`); 모든 출력 파일의 실제 추적 여부는 확인되지 않았으며, 형식별 writer의 open/create·close 호출과 추적 등록 경로를 추가 대조해야 한다. (`unstruc_netcdf.f90:44,2469-2558`)",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/unstruc_netcdf_data.f90:18-24,관리 규약과 모든 출력 파일의 실제 추적을 구분하려면 형식별 호출 근거가 필요하다.
models/Delft3D/source-analysis/delft3d_dflowfm_prepost.md,83,NARROW,HIGH,"`:703-753` 모든 link 에 대해 `lncn(1,L),lncn(2,L)` (link 양끝 corner net node) 설정. 2D link 는 셀중심 법선 `rnl,rtl` 와 edge 법선 `rn,rt` 의 외적이 음수면 두 corner 를 swap 하여 **local axis 양의 방향** 보장 (`:722-731`, `if (rnl*rt - rtl*rn < 0) ... swap; numswap++`). 주석(`:705-709`): `o---4---o  1,2: flow nodes, 3,4: net nodes / L: 1--2  Ln=ln2lne(L): 3--4 / lncn(:,L) = 3--4, or 4--3 if ||3--4 X 1--2|| < 0, i.e., flux is 'to the right' through net link 3--4.`","`flow_geominit.f90:711-741`의 2D·1D·1D 경계·열거된 1D2D link 분기에서 `lncn(1,L),lncn(2,L)`을 설정한다(1D 경계는 조건에 맞는 끝 net node를 두 번 참조한다). 2D link 는 셀중심 법선 `rnl,rtl` 와 edge 법선 `rn,rt` 의 외적이 음수면 두 corner 를 swap 하여 **local axis 양의 방향** 보장 (`flow_geominit.f90:711-723`, `if (rnl*rt - rtl*rn < 0) ... swap; numswap++`). 다른 link 종류의 설정은 이 분기에서 확인되지 않았다.",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/prepost/flow_geominit.f90:703-742,lncn 대입 대상을 실제 조건 분기로 한정하고 현재 줄에 없는 주석 인용을 제거한다.
models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,43,REPLACE,HIGH,1. `fill_constituents(1)` — 모든 scalar 를 통합 배열·source/sink 채움 (`update_constituents.f90:149`).,"1. `fill_constituents(1)` — 통합 배열의 이차류·퇴적물 상태를 조건부 복사하고 source/sink를 0으로 초기화하며, 염분·수온 등의 확산계수를 조건부 설정한다(`fill_constituents.f90:89-104,115-160`; 호출 `update_constituents.f90:149`).","models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_transport/fill_constituents.f90:89-104,115-160",상태 복사·source/sink 초기화·확산계수 설정을 모든 scalar 채움으로 뭉뚱그린 설명을 교체한다.
models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,195,NARROW,HIGH,"(`fm_upwbed.f90:134-147`). central(`upwindbedload=.false.`)이면 항상 acl 가중평균 (`:142-145`). `pure1d_mor` 1D link 는 x-성분 전체벡터 사용 (`:101-127`). 마른 link·비활성 sediment cell 은 0 (`:95-98, :149-153`). 경계처리 `jabndtreatment` 분기 (`:75-79, :157-`).","(`fm_upwbed.f90:134-147`). 이 분기에서 central(`upwindbedload=.false.`)이고 `Lf<=Lnxi`이면 acl 가중평균이며, `Lf>Lnxi`이면 upwind 분기로 들어간다(`fm_upwbed.f90:134-145`). `pure1d_mor` 1D link 는 x-성분 전체벡터 사용 (`:101-127`). 마른 link·비활성 sediment cell 은 0 (`:95-98, :149-153`). 경계처리 `jabndtreatment` 분기 (`:75-79, :157-`).",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_sediment/fm_upwbed.f90:134-145,central 평균의 적용 범위에 내부 link 조건을 복원한다.
models/Delft3D/source-analysis/delft3d_fbc_flow_boundary.md,52,REPLACE,HIGH,"- `solve` 시그니처 주석: `stateOld` = 이전 시스템 상태(read only), `stateNew` = 신규 상태, `t` = 1970 이후 밀리초, `dt` = 타임스텝[s] (`element.h:93-103`). 즉 **상태벡터(state vector) 기반 in-place 풀이** — 모든 시계열이 하나의 평탄한 `double*` 상태배열의 컬럼 인덱스로 참조된다.","- `solve` 시그니처 주석: `stateOld` = 이전 시스템 상태(read only), `stateNew` = 신규 상태, `t` = 1970 이후 밀리초, `dt` = 타임스텝[s] (`element.h:93-103`). 즉 **상태벡터(state vector) 기반 한 스텝 풀이** — 이전·신규 상태를 별도의 `double*` 인자로 전달한다(`element.h:96-104`). 시계열 저장에는 `(nEnsemble,nSeries,nTimes)` tensor도 있다(`timeSeriesTensor.h:41-60`).",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/schematization/element.h:96-104; models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/timeseries/timeSeriesTensor.h:41-60,별도 이전·신규 상태 인자를 in-place 풀이와 전체 시계열 저장구조로 오독한 설명을 교체한다.
models/Delft3D/source-analysis/delft3d_fbc_flow_boundary.md,62,NARROW,HIGH,"   - 주석 그대로: `// this deactivates all referenced rules in the triggers` / `// note a rules is not deactivated if NOT referenced in any trigger` (`rtcToolsSimulator.cpp:117-119`). 즉 트리거가 참조하는 rule 만 비활성화 대상이고, 어떤 트리거에도 참조되지 않은 rule 은 항상 활성.","   - 주석 그대로: `// this deactivates all referenced rules in the triggers` / `// note a rules is not deactivated if NOT referenced in any trigger` (`rtcToolsSimulator.cpp:117-119`). 즉 트리거가 참조하는 rule 만 비활성화 대상이고, 어떤 트리거에도 참조되지 않은 rule 은 이 비활성화 단계의 대상이 아니다(`rtcToolsSimulator.cpp:110-124`); 항상 활성인지는 이 근거로 확인되지 않았다.",models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/rtcToolsSimulator.cpp:110-124; models/Delft3D/raw/source_code/Delft3D/src/engines_gpl/fbc/packages/FBCTools/src/schematization/element.h:90-104,비활성화 단계의 적용 제외를 항시 활성으로 확장하지 않는다.
