id,note,note_line,wiki_claim,ref,source,old_ranges,new_ranges,span,hunks
D1-1,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,43,"- `s0(:)` / `s1(:)` — 타임스텝 시작/끝 수위 (m). `m_flow.f90:160-161`. 주석 `[m] waterlevel (m ) at start/end of timestep {""location"": ""face"", ""shape"": [""ndx""]}`.",m_flow.f90:160-161,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,160-161,REANCHOR(160-161),2,"[{""tag"": ""replace"", ""old"": ""160-173"", ""new"": ""165-178"", ""old_text"": [""   real(kind=dp), allocatable, target :: s0(:) !< [m] waterlevel    (m ) at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target :: s1(:) !< [m] waterlevel    (m ) at end   of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target :: s1max(:) !< [m] maximum waterlevel (m ) at end   of timestep for Fourier output {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable :: s00(:) !< waterlevel    (m ) for checking iteration in nonlin"", ""   real(kind=dp), allocatable, target :: a0(:) !< [m2] storage area at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}; in 2D models ndkx=ndx""], ""new_text"": [""   real(kind=dp), allocatable, target, dimension(:) :: s0 !< [m] waterlevel    (m ) at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: s1 !< [m] waterlevel    (m ) at end   of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: s1max !< [m] maximum waterlevel (m ) at end   of timestep for Fourier output {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, dimension(:) :: s00 !< waterlevel    (m ) for checking iteration in nonlin"", ""   real(kind=dp), allocatable, target, dimension(:) :: a0 !< [m2] storage area at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}; in 2D models ndkx=ndx""]}]"
D1-2,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,44,- `hs(:)` — 셀 중심 수심 = s1 - bl. `m_flow.f90:171` (`[m] waterdepth at cell centre = s1 - bl (m)`).,m_flow.f90:171,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,171-171,REANCHOR(171-171),1,"[{""tag"": ""replace"", ""old"": ""160-173"", ""new"": ""165-178"", ""old_text"": [""   real(kind=dp), allocatable, target :: s0(:) !< [m] waterlevel    (m ) at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target :: s1(:) !< [m] waterlevel    (m ) at end   of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target :: s1max(:) !< [m] maximum waterlevel (m ) at end   of timestep for Fourier output {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable :: s00(:) !< waterlevel    (m ) for checking iteration in nonlin"", ""   real(kind=dp), allocatable, target :: a0(:) !< [m2] storage area at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}; in 2D models ndkx=ndx""], ""new_text"": [""   real(kind=dp), allocatable, target, dimension(:) :: s0 !< [m] waterlevel    (m ) at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: s1 !< [m] waterlevel    (m ) at end   of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: s1max !< [m] maximum waterlevel (m ) at end   of timestep for Fourier output {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, dimension(:) :: s00 !< waterlevel    (m ) for checking iteration in nonlin"", ""   real(kind=dp), allocatable, target, dimension(:) :: a0 !< [m2] storage area at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}; in 2D models ndkx=ndx""]}]"
D1-3,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,45,- `vol0(:)`/`vol1(:)` — 타임스텝 시작/끝 총부피 (m3). `m_flow.f90:166-167`.,m_flow.f90:166-167,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,166-167,REANCHOR(166-167),2,"[{""tag"": ""replace"", ""old"": ""160-173"", ""new"": ""165-178"", ""old_text"": [""   real(kind=dp), allocatable, target :: s0(:) !< [m] waterlevel    (m ) at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target :: s1(:) !< [m] waterlevel    (m ) at end   of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target :: s1max(:) !< [m] maximum waterlevel (m ) at end   of timestep for Fourier output {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable :: s00(:) !< waterlevel    (m ) for checking iteration in nonlin"", ""   real(kind=dp), allocatable, target :: a0(:) !< [m2] storage area at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}; in 2D models ndkx=ndx""], ""new_text"": [""   real(kind=dp), allocatable, target, dimension(:) :: s0 !< [m] waterlevel    (m ) at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: s1 !< [m] waterlevel    (m ) at end   of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: s1max !< [m] maximum waterlevel (m ) at end   of timestep for Fourier output {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, dimension(:) :: s00 !< waterlevel    (m ) for checking iteration in nonlin"", ""   real(kind=dp), allocatable, target, dimension(:) :: a0 !< [m2] storage area at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}; in 2D models ndkx=ndx""]}]"
D1-4,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,46,- `a0(:)`/`a1(:)` — 저류면적 (m2). `m_flow.f90:164-165`.,m_flow.f90:164-165,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,164-165,REANCHOR(164-165),2,"[{""tag"": ""replace"", ""old"": ""160-173"", ""new"": ""165-178"", ""old_text"": [""   real(kind=dp), allocatable, target :: s0(:) !< [m] waterlevel    (m ) at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target :: s1(:) !< [m] waterlevel    (m ) at end   of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target :: s1max(:) !< [m] maximum waterlevel (m ) at end   of timestep for Fourier output {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable :: s00(:) !< waterlevel    (m ) for checking iteration in nonlin"", ""   real(kind=dp), allocatable, target :: a0(:) !< [m2] storage area at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}; in 2D models ndkx=ndx""], ""new_text"": [""   real(kind=dp), allocatable, target, dimension(:) :: s0 !< [m] waterlevel    (m ) at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: s1 !< [m] waterlevel    (m ) at end   of timestep {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: s1max !< [m] maximum waterlevel (m ) at end   of timestep for Fourier output {\""location\"": \""face\"", \""shape\"": [\""ndx\""]}"", ""   real(kind=dp), allocatable, dimension(:) :: s00 !< waterlevel    (m ) for checking iteration in nonlin"", ""   real(kind=dp), allocatable, target, dimension(:) :: a0 !< [m2] storage area at start of timestep {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}; in 2D models ndkx=ndx""]}]"
D1-5,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,47,- `ucx`/`ucy`/`ucz` — 셀 중심 속도 글로벌 x/y/z 성분 (m/s). `m_flow.f90:192-194`. `ucmag` 속도 크기 `m_flow.f90:199`.,m_flow.f90:192-194,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,192-194,REANCHOR(192-194),3,"[{""tag"": ""replace"", ""old"": ""191-217"", ""new"": ""196-222"", ""old_text"": [""   real(kind=dp), allocatable :: volau(:) !< trial, au based cell volume (m3)"", ""   real(kind=dp), allocatable, target :: ucx(:) !< [m/s] cell center velocity, global x-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target :: ucy(:) !< [m/s] cell center velocity, global y-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target :: ucz(:) !< [m/s] cell center velocity, global z-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target :: ucxq(:) !< cell center velocity, q based  global x-dir (m/s)""], ""new_text"": [""   real(kind=dp), allocatable, dimension(:) :: volau !< trial, au based cell volume (m3)"", ""   real(kind=dp), allocatable, target, dimension(:) :: ucx !< [m/s] cell center velocity, global x-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: ucy !< [m/s] cell center velocity, global y-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: ucz !< [m/s] cell center velocity, global z-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: ucxq !< cell center velocity, q based  global x-dir (m/s)""]}]"
D1-6,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,47,- `ucx`/`ucy`/`ucz` — 셀 중심 속도 글로벌 x/y/z 성분 (m/s). `m_flow.f90:192-194`. `ucmag` 속도 크기 `m_flow.f90:199`.,m_flow.f90:199,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,199-199,REANCHOR(199-199),1,"[{""tag"": ""replace"", ""old"": ""191-217"", ""new"": ""196-222"", ""old_text"": [""   real(kind=dp), allocatable :: volau(:) !< trial, au based cell volume (m3)"", ""   real(kind=dp), allocatable, target :: ucx(:) !< [m/s] cell center velocity, global x-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target :: ucy(:) !< [m/s] cell center velocity, global y-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target :: ucz(:) !< [m/s] cell center velocity, global z-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target :: ucxq(:) !< cell center velocity, q based  global x-dir (m/s)""], ""new_text"": [""   real(kind=dp), allocatable, dimension(:) :: volau !< trial, au based cell volume (m3)"", ""   real(kind=dp), allocatable, target, dimension(:) :: ucx !< [m/s] cell center velocity, global x-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: ucy !< [m/s] cell center velocity, global y-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: ucz !< [m/s] cell center velocity, global z-dir (m/s) {\""location\"": \""face\"", \""shape\"": [\""ndkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: ucxq !< cell center velocity, q based  global x-dir (m/s)""]}]"
D1-7,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,50,- `u0(:)`/`u1(:)` — 타임스텝 시작/끝 유속 (m/s). `m_flow.f90:295-296`.,m_flow.f90:295-296,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,295-296,REANCHOR(295-296),2,"[{""tag"": ""replace"", ""old"": ""295-329"", ""new"": ""300-334"", ""old_text"": [""   real(kind=dp), allocatable, target :: u0(:) !< flow velocity (m/s)  at start of timestep"", ""   real(kind=dp), allocatable, target :: u1(:) !< [m/s]  flow velocity (m/s)  at   end of timestep {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: u_to_umain(:) !< [-]  Factor for translating general velocity to the flow velocity in the main channel at end of timestep (1d) {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: q1(:) !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: q1_main(:) !< [m3/s] discharge     (m3/s) in main channel at {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}""], ""new_text"": [""   real(kind=dp), allocatable, target, dimension(:) :: u0 !< flow velocity (m/s)  at start of timestep"", ""   real(kind=dp), allocatable, target, dimension(:) :: u1 !< [m/s]  flow velocity (m/s)  at   end of timestep {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: u_to_umain !< [-]  Factor for translating general velocity to the flow velocity in the main channel at end of timestep (1d) {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: q1 !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: q1_main !< [m3/s] discharge     (m3/s) in main channel at {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}""]}]"
D1-8,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,51,"- `q1(:)` — 유량 (m3/s) at end of timestep n. 주석에 `used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array` (`m_flow.f90:298`) — 메모리 절약을 위해 q0 배열을 별도 유지하지 않는 설계.",m_flow.f90:298,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,298-298,REANCHOR(298-298),1,"[{""tag"": ""replace"", ""old"": ""295-329"", ""new"": ""300-334"", ""old_text"": [""   real(kind=dp), allocatable, target :: u0(:) !< flow velocity (m/s)  at start of timestep"", ""   real(kind=dp), allocatable, target :: u1(:) !< [m/s]  flow velocity (m/s)  at   end of timestep {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: u_to_umain(:) !< [-]  Factor for translating general velocity to the flow velocity in the main channel at end of timestep (1d) {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: q1(:) !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: q1_main(:) !< [m3/s] discharge     (m3/s) in main channel at {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}""], ""new_text"": [""   real(kind=dp), allocatable, target, dimension(:) :: u0 !< flow velocity (m/s)  at start of timestep"", ""   real(kind=dp), allocatable, target, dimension(:) :: u1 !< [m/s]  flow velocity (m/s)  at   end of timestep {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: u_to_umain !< [-]  Factor for translating general velocity to the flow velocity in the main channel at end of timestep (1d) {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: q1 !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: q1_main !< [m3/s] discharge     (m3/s) in main channel at {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}""]}]"
D1-9,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,52,- `au(:)` — u 점에서의 흐름면적 (m2). `m_flow.f90:304`.,m_flow.f90:304,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,304-304,REANCHOR(304-304),1,"[{""tag"": ""replace"", ""old"": ""295-329"", ""new"": ""300-334"", ""old_text"": [""   real(kind=dp), allocatable, target :: u0(:) !< flow velocity (m/s)  at start of timestep"", ""   real(kind=dp), allocatable, target :: u1(:) !< [m/s]  flow velocity (m/s)  at   end of timestep {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: u_to_umain(:) !< [-]  Factor for translating general velocity to the flow velocity in the main channel at end of timestep (1d) {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: q1(:) !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: q1_main(:) !< [m3/s] discharge     (m3/s) in main channel at {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}""], ""new_text"": [""   real(kind=dp), allocatable, target, dimension(:) :: u0 !< flow velocity (m/s)  at start of timestep"", ""   real(kind=dp), allocatable, target, dimension(:) :: u1 !< [m/s]  flow velocity (m/s)  at   end of timestep {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: u_to_umain !< [-]  Factor for translating general velocity to the flow velocity in the main channel at end of timestep (1d) {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: q1 !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: q1_main !< [m3/s] discharge     (m3/s) in main channel at {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}""]}]"
D1-10,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,53,- `qa(:)` — advection 용 유량 `qa=au(n)*u1(n+1)` `m_flow.f90:300`.,m_flow.f90:300,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90,300-300,REANCHOR(300-300),1,"[{""tag"": ""replace"", ""old"": ""295-329"", ""new"": ""300-334"", ""old_text"": [""   real(kind=dp), allocatable, target :: u0(:) !< flow velocity (m/s)  at start of timestep"", ""   real(kind=dp), allocatable, target :: u1(:) !< [m/s]  flow velocity (m/s)  at   end of timestep {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: u_to_umain(:) !< [-]  Factor for translating general velocity to the flow velocity in the main channel at end of timestep (1d) {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: q1(:) !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target :: q1_main(:) !< [m3/s] discharge     (m3/s) in main channel at {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}""], ""new_text"": [""   real(kind=dp), allocatable, target, dimension(:) :: u0 !< flow velocity (m/s)  at start of timestep"", ""   real(kind=dp), allocatable, target, dimension(:) :: u1 !< [m/s]  flow velocity (m/s)  at   end of timestep {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: u_to_umain !< [-]  Factor for translating general velocity to the flow velocity in the main channel at end of timestep (1d) {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: q1 !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}"", ""   real(kind=dp), allocatable, target, dimension(:) :: q1_main !< [m3/s] discharge     (m3/s) in main channel at {\""location\"": \""edge\"", \""shape\"": [\""lnkx\""]}""]}]"
