model,repository,evidence_status,claimed_commit_or_tag,current_local_commit,match,evidence_file,evidence_lines,evidence_type,confidence,notes
ADCIRC,FigureGen,EXPLICIT_MATCH,d3517e4a5cdb82d0f89182cb94a49f1f688393f9,d3517e4a5cdb82d0f89182cb94a49f1f688393f9,yes,_staging/total-read/PROVENANCE.json,20-24,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=master (현재 master); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ADCIRC,StormEvents,EXPLICIT_MATCH,fd0da544dc863ab73a10a675cce7b0cf70b472bf,fd0da544dc863ab73a10a675cce7b0cf70b472bf,yes,_staging/total-read/PROVENANCE.json,52-56,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ADCIRC,adcirc,EXPLICIT_MATCH,6037225ce4573efd3c1f8877a5dc908d01c199a8,6037225ce4573efd3c1f8877a5dc908d01c199a8,yes,_staging/total-read/PROVENANCE.json,44-48,sha,high,"2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: models/ADCIRC/source-analysis/tide/adcirc-tide-forcing-implementation.md:16,28 (2026-09-14 한정 대조); models/ADCIRC/source-analysis/adcirc-topic-map.md:29."
ADCIRC,adcirc-testsuite,EXPLICIT_MATCH,72bb573073ea89e538890f9352dd8e92bae562f5,72bb573073ea89e538890f9352dd8e92bae562f5,yes,_staging/total-read/PROVENANCE.json,28-32,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=776; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: models/ADCIRC/source-analysis/adcirc-topic-map.md:31; models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md:87. dirty 수는 기록값 그대로이며 수정/미추적 내역과 현재 상태는 조사하지 않음; Claude 판단 필요.
ADCIRC,adcircpy,EXPLICIT_MATCH,0eb84de6e743b4b6c8f2514dba07646b883ecc08,0eb84de6e743b4b6c8f2514dba07646b883ecc08,yes,_staging/total-read/PROVENANCE.json,60-64,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ADCIRC,asgs,EXPLICIT_MATCH,aeb383324bb486a5c4d834ce4edd99a7086566c8,aeb383324bb486a5c4d834ce4edd99a7086566c8,yes,_staging/total-read/PROVENANCE.json,12-16,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=master (현재 master); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
ADCIRC,gahm,EXPLICIT_MATCH,bcbb0fe857098affb91fce3c24e1f099a244b80d,bcbb0fe857098affb91fce3c24e1f099a244b80d,yes,_staging/total-read/PROVENANCE.json,36-40,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
CADMAS-SURF,Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami,EXPLICIT_MATCH,da7668f97f4ea15fdcb11a377bea12a083a40c53,da7668f97f4ea15fdcb11a377bea12a083a40c53,yes,_staging/total-read/PROVENANCE.json,79-83,sha,high,"2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님. 보조 근거: models/CADMAS-SURF/README.md:5 (da7668f, 2026-06-23)."
Celeris,Celeris-WebGPU,EXPLICIT_MATCH,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,yes,_staging/total-read/PROVENANCE.json,98-102,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=main (현재 main); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
Delft3D,Delft-FIAT,EXPLICIT_MATCH,a1fd66cf6f27eb7322e04188d1d962ac7fce10fe,a1fd66cf6f27eb7322e04188d1d962ac7fce10fe,yes,_staging/total-read/PROVENANCE.json,117-121,sha,high,2026-07-21T14:12:52Z 판독 코퍼스 기록의 full SHA가 manifest pinned_commit_sha와 정확히 일치; branch=master (현재 master); 당시 dirty=0; 로컬 cat-file -e <sha>^{commit} exit 0. 코퍼스 기준점의 일치이며 모든 개별 노트의 작성 판본 또는 작업 트리 바이트 동일성 보증은 아님.
