id,note,note_line,wiki_claim,old_evidence,new_evidence,semantic_meaning_changed,proposed_classification,reason_type,confidence,exact_evidence,verdict,justification
S1-1,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,64,- Called from unstructured main loop at `[file=src/SwanCompUnstruc.ftn90 line=918]`,src/SwanCompUnstruc.ftn90:918-918,src/SwanCompUnstruc.ftn90:915,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:915 — call SwanPropvelX ( cax, cay, compda(1,JVX2), compda(1,JVY2), cgo, spcdir(1,2), spcdir(1,3) )",REVIEW_ONLY,The same SwanPropvelX call and arguments remain inside the active-vertex/cell calculation. The old line 918 reanchors to 915; adding the surrounding front loop does not remove or redirect this call.
S1-2,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,No 4-quadrant fixed sweep. Instead **ordered-vertex sweeps** over `nsweep` directions with per-cell intersection checks at `[file=src/SwanCompUnstruc.ftn90 line=829-979]`. Active spectral bins per sweep selected by `SwanSweepSel` at `[file=src/SwanCompUnstruc.ftn90 line=983-987]`. Spectral velocities per sweep from `SwanPropvelS` at `[file=src/SwanCompUnstruc.ftn90 line=994-1000]`.,src/SwanCompUnstruc.ftn90:829-979,src/SwanCompUnstruc.ftn90:825-851; src/SwanCompUnstruc.ftn90:877-893; src/SwanCompUnstruc.ftn90:947-975; src/SwanVertlist.ftn90:180-217; src/SwanVertlist.ftn90:235-295; src/SwanVertlist.ftn90:363-373,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:826 — n = nsweep | src/SwanCompUnstruc.ftn90:830 — n = 1 | src/SwanCompUnstruc.ftn90:835 — sweeploop: do swpdir = 1, n | src/SwanCompUnstruc.ftn90:839 — !GRAPH          frontloop: do ifront = 1, nfront(swpdir) | src/SwanCompUnstruc.ftn90:844 — !$omp do schedule(static) | src/SwanCompUnstruc.ftn90:848 — !GRAPH                ivert = flist(kvert,swpdir) | src/SwanCompUnstruc.ftn90:849 — !FXFRO                ivert = vlist(kvert,swpdir) | src/SwanCompUnstruc.ftn90:974 — if ( ( thmin < th1 .and. thmax < th1 ) .or. & | src/SwanCompUnstruc.ftn90:975 — ( thmin > th2 .and. thmax > th2 )      ) cycle celloop | src/SwanVertlist.ftn90:185 — dist(j,swpdir) = vert(j)%attr(VERTX) * cos(sdir) + vert(j)%attr(VERTY) * sin(sdir) | src/SwanVertlist.ftn90:365 — !GRAPH          k = vlist(j,swpdir) | src/SwanVertlist.ftn90:371 — !GRAPH          flist(l,swpdir) = k",REVIEW_ONLY,"The supported claim is the direction-based ordering and cell/sweep intersection test. Both remain: sweeps consume direction-derived flist or vlist and retain the same angular rejection test. The new intermediate wavefront loop changes scheduling, but the note does not specify the removed per-thread bounds algorithm. The existing nsweep-or-one selection is also retained; no new four-quadrant restriction appears."
S1-3,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,No 4-quadrant fixed sweep. Instead **ordered-vertex sweeps** over `nsweep` directions with per-cell intersection checks at `[file=src/SwanCompUnstruc.ftn90 line=829-979]`. Active spectral bins per sweep selected by `SwanSweepSel` at `[file=src/SwanCompUnstruc.ftn90 line=983-987]`. Spectral velocities per sweep from `SwanPropvelS` at `[file=src/SwanCompUnstruc.ftn90 line=994-1000]`.,src/SwanCompUnstruc.ftn90:983-987,src/SwanCompUnstruc.ftn90:980-986,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:980 — call SwanSweepSel ( idcmin, idcmax, anybin, iscmin, iscmax, & | src/SwanCompUnstruc.ftn90:981 — iddlow, iddtop, idtot , isslow, isstop, & | src/SwanCompUnstruc.ftn90:982 — istot , cax   , cay   , rdx   , rdy   , & | src/SwanCompUnstruc.ftn90:983 — spcsig) | src/SwanCompUnstruc.ftn90:986 — if ( idtot > 0 ) then",REVIEW_ONLY,"The SwanSweepSel call, its bin-bound arguments and the following idtot > 0 gate are unchanged apart from indentation and coordinates. Old 983-987 maps to 980-984."
S1-4,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,No 4-quadrant fixed sweep. Instead **ordered-vertex sweeps** over `nsweep` directions with per-cell intersection checks at `[file=src/SwanCompUnstruc.ftn90 line=829-979]`. Active spectral bins per sweep selected by `SwanSweepSel` at `[file=src/SwanCompUnstruc.ftn90 line=983-987]`. Spectral velocities per sweep from `SwanPropvelS` at `[file=src/SwanCompUnstruc.ftn90 line=994-1000]`.,src/SwanCompUnstruc.ftn90:994-1000,src/SwanCompUnstruc.ftn90:986-997,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:988 — ! compute propagation velocities in spectral space for the considered sweep in present vertex | src/SwanCompUnstruc.ftn90:991 — call SwanPropvelS ( cad             , cas           , compda(1,JVX2), compda(1,JVY2), & | src/SwanCompUnstruc.ftn90:993 — kwave           , cgo           , spcsig        , iddlow        , & | src/SwanCompUnstruc.ftn90:994 — iddtop          , spcdir(1,2)   , spcdir(1,3)   , spcdir(1,4)   , & | src/SwanCompUnstruc.ftn90:996 — dhdx            , dhdy          , dkdx          , dkdy          , & | src/SwanCompUnstruc.ftn90:997 — duxdx           , duxdy         , duydx         , duydy         )",REVIEW_ONLY,"The same SwanPropvelS call remains under idtot > 0 with the same cad/cas outputs, directional bounds and gradient arguments. Old 994-1000 maps to 991-997. The separate change to OpenMP-private current gradients does not falsify this call/role claim."
S1-5,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,72,- Direct divide if no refraction/freq shift at `[file=src/SwanCompUnstruc.ftn90 line=1206-1228]`,src/SwanCompUnstruc.ftn90:1206-1228,src/SwanCompUnstruc.ftn90:1203-1225,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:1203 — if ( IREFR == 0 .and. ITFRE == 0 ) then | src/SwanCompUnstruc.ftn90:1213 — if ( abs(rval1) > 1.e-20 ) then | src/SwanCompUnstruc.ftn90:1216 — rval2 = sign(1.e-20,rval1) | src/SwanCompUnstruc.ftn90:1218 — ac2(id,is,ivert) = rhs(id,is) / rval2",REVIEW_ONLY,"The IREFR == 0 and ITFRE == 0 branch, protected denominator and rhs/rval2 update are unchanged. Old 1206-1228 maps exactly to 1203-1225 after whitespace normalization."
S1-6,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,73,- `SOLMAT` (Thomas tridiag) at `[file=src/SwanCompUnstruc.ftn90 line=1237-1238]`,src/SwanCompUnstruc.ftn90:1237-1238,src/SwanCompUnstruc.ftn90:1228-1235,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:1228 — elseif ( .not.DYNDEP .and. ICUR == 0 .or. int(PNUMS(8)) == 0 ) then | src/SwanCompUnstruc.ftn90:1231 — ! solve tridiagonal system of equations using Thomas' algorithm | src/SwanCompUnstruc.ftn90:1234 — call SOLMAT ( idcmin     , idcmax     , ac2        , rhs, & | src/SwanCompUnstruc.ftn90:1235 — amat(1,1,1), amat(1,1,5), amat(1,1,4)     )",REVIEW_ONLY,The branch still explicitly describes Thomas' algorithm for a tridiagonal system and invokes SOLMAT with the same arguments. Old call 1237-1238 maps to 1234-1235.
S1-7,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,74,"- `SWSIP` (penta-diag SIP, implicit sigma) at `[file=src/SwanCompUnstruc.ftn90 line=1251-1255]`",src/SwanCompUnstruc.ftn90:1251-1255,src/SwanCompUnstruc.ftn90:1242-1252,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:1242 — if ( int(PNUMS(8)) == 1 ) then | src/SwanCompUnstruc.ftn90:1244 — ! implicit scheme in sigma space | src/SwanCompUnstruc.ftn90:1245 — ! solve pentadiagonal system of equations using SIP solver | src/SwanCompUnstruc.ftn90:1248 — call SWSIP ( ac2        , amat(1,1,1)    , rhs            , amat(1,1,4), & | src/SwanCompUnstruc.ftn90:1249 — amat(1,1,5), amat(1,1,2)    , amat(1,1,3)    , ac2old     , &",REVIEW_ONLY,"The PNUMS(8) == 1 branch, implicit-sigma/SIP description and SWSIP arguments are preserved. Old call 1251-1255 maps to 1248-1252."
S1-8,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,75,- `SOLMT1` (tridiag for explicit sigma) at `[file=src/SwanCompUnstruc.ftn90 line=1264-1266]`,src/SwanCompUnstruc.ftn90:1264-1266,src/SwanCompUnstruc.ftn90:1255-1263,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:1255 — elseif (int(PNUMS(8)) == 2 ) then | src/SwanCompUnstruc.ftn90:1257 — ! explicit scheme in sigma space | src/SwanCompUnstruc.ftn90:1258 — ! solve tridiagonal system of equations using Thomas' algorithm | src/SwanCompUnstruc.ftn90:1261 — call SOLMT1  ( idcmin     , idcmax     , ac2        , rhs    , & | src/SwanCompUnstruc.ftn90:1262 — amat(1,1,1), amat(1,1,5), amat(1,1,4),          & | src/SwanCompUnstruc.ftn90:1263 — isstop     , anyblk     , iddlow     , iddtop )",REVIEW_ONLY,"The PNUMS(8) == 2 branch still describes explicit sigma and a Thomas tridiagonal solve, with the same SOLMT1 arguments. Old call 1264-1266 maps to 1261-1263."
S1-9,models/SWAN/source-analysis/swan-diffraction-obstacles.md,23,"- `SwanPrepComp.ftn90:87`, `SwanFindObstacles.ftn90:103-127`, `SwanCompUnstruc.ftn90:780-1080`, `SwanPropvelX.ftn90:92`, `SwanPropvelS.ftn90:269` — unstructured.",src/SwanCompUnstruc.ftn90:780-1080,src/SwanCompUnstruc.ftn90:779; src/SwanCompUnstruc.ftn90:915; src/SwanCompUnstruc.ftn90:991-997; src/SwanCompUnstruc.ftn90:1036-1085; src/SwanPropvelX.ftn90:94-101; src/SwanPropvelS.ftn90:266-271,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:779 — if ( IDIFFR /= 0 ) call SwanDiffPar ( ac2, compda(1,JDP2), spcsig ) | src/SwanCompUnstruc.ftn90:1052 — link(1) = cross(iface) | src/SwanCompUnstruc.ftn90:1057 — link(2) = cross(iface) | src/SwanCompUnstruc.ftn90:1067 — call SWTRCF ( compda(1,JDP2), compda(1,JWLV2), compda(1,JHS)  , link, obredf    , ac2, reflso, dummy ,         & | src/SwanCompUnstruc.ftn90:1080 — call SwanTranspAc ( amat  , rhs   , leakcf, ac2   , ac1   , & | src/SwanCompUnstruc.ftn90:1081 — cgo   , cax   , cay   , cad   , cas   , & | src/SwanPropvelX.ftn90:97 — cax(id,is,ic) = cax(id,is,ic)*DIFPARAM(ivert) | src/SwanPropvelS.ftn90:270 — if ( IDIFFR /= 0 ) cad(id,is) = cad(id,is)*DIFPARAM(iv1) - DIFPARDX(iv1)*cgo(is,1)*esin(id) + DIFPARDY(iv1)*cgo(is,1)*ecos(id)",REVIEW_ONLY,"Read in note context, the broad entry supports face-crossing obstacle treatment and diffraction-modified transport, not a particular OpenMP partition scheme. The cross-to-link mapping, SWTRCF call, diffraction calculation and velocity-to-SwanTranspAc dataflow all remain. Focused anchors include the complete transport call, which extended beyond the old broad citation's endpoint."
S1-10,models/SWAN/source-analysis/swan-diffraction-obstacles.md,107,"During unstructured computation, crossed faces mapped to two local stencil links and passed to `SWTRCF` (`SwanCompUnstruc.ftn90:1039-1080`).",src/SwanCompUnstruc.ftn90:1039-1080,src/SwanCompUnstruc.ftn90:1036-1077,no,REVIEW_ONLY,,HIGH,"src/SwanCompUnstruc.ftn90:1047 — if ( vb==ivert .or. ve==ivert ) then | src/SwanCompUnstruc.ftn90:1049 — if ( vb==vu(1) .or. ve==vu(1) ) then | src/SwanCompUnstruc.ftn90:1052 — link(1) = cross(iface) | src/SwanCompUnstruc.ftn90:1054 — elseif ( vb==vu(2) .or. ve==vu(2) ) then | src/SwanCompUnstruc.ftn90:1057 — link(2) = cross(iface) | src/SwanCompUnstruc.ftn90:1065 — if ( link(1)/=0 .or. link(2)/=0 ) then | src/SwanCompUnstruc.ftn90:1067 — call SWTRCF ( compda(1,JDP2), compda(1,JWLV2), compda(1,JHS)  , link, obredf    , ac2, reflso, dummy ,         &",REVIEW_ONLY,The two endpoint tests still assign cross(iface) to link(1) and link(2); a nonzero link still triggers SWTRCF with link as an argument. Old 1039-1080 maps exactly to 1036-1077 after whitespace normalization.
